After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.3205, test_acc = 0.1304
After round 2, test_loss = 2.3012, test_acc = 0.1911
After round 3, test_loss = 2.2822, test_acc = 0.2428
After round 4, test_loss = 2.2671, test_acc = 0.2689
After round 5, test_loss = 2.2535, test_acc = 0.2977
After round 6, test_loss = 2.2382, test_acc = 0.3153
After round 7, test_loss = 2.2249, test_acc = 0.3251
After round 8, test_loss = 2.2146, test_acc = 0.3368
After round 9, test_loss = 2.2016, test_acc = 0.3407
After round 10, test_loss = 2.1925, test_acc = 0.3417
After round 11, test_loss = 2.1851, test_acc = 0.3467
After round 12, test_loss = 2.1789, test_acc = 0.3552
After round 13, test_loss = 2.1725, test_acc = 0.3727
After round 14, test_loss = 2.1671, test_acc = 0.3888
After round 15, test_loss = 2.1621, test_acc = 0.4051
After round 16, test_loss = 2.1577, test_acc = 0.4211
After round 17, test_loss = 2.1549, test_acc = 0.4264
After round 18, test_loss = 2.1518, test_acc = 0.4298
After round 19, test_loss = 2.1489, test_acc = 0.4351
After round 20, test_loss = 2.1464, test_acc = 0.4408
After round 21, test_loss = 2.1441, test_acc = 0.4444
After round 22, test_loss = 2.1418, test_acc = 0.4489
After round 23, test_loss = 2.1397, test_acc = 0.4527
After round 24, test_loss = 2.1391, test_acc = 0.4564
After round 25, test_loss = 2.1369, test_acc = 0.4646
After round 26, test_loss = 2.1354, test_acc = 0.4692
After round 27, test_loss = 2.1334, test_acc = 0.4717
After round 28, test_loss = 2.1325, test_acc = 0.4783
After round 29, test_loss = 2.1313, test_acc = 0.4825
After round 30, test_loss = 2.1305, test_acc = 0.4841
After round 31, test_loss = 2.111, test_acc = 0.4804
After round 32, test_loss = 2.1093, test_acc = 0.4827
After round 33, test_loss = 2.1096, test_acc = 0.4854
After round 34, test_loss = 2.1088, test_acc = 0.4885
After round 35, test_loss = 2.108, test_acc = 0.493
After round 36, test_loss = 2.1075, test_acc = 0.4962
After round 37, test_loss = 2.1063, test_acc = 0.4992
After round 38, test_loss = 2.1063, test_acc = 0.5008
After round 39, test_loss = 2.1057, test_acc = 0.5035
After round 40, test_loss = 2.1058, test_acc = 0.5039
After round 41, test_loss = 2.105, test_acc = 0.5069
After round 42, test_loss = 2.1042, test_acc = 0.5101
After round 43, test_loss = 2.1032, test_acc = 0.5147
After round 44, test_loss = 2.1034, test_acc = 0.5146
After round 45, test_loss = 2.1038, test_acc = 0.5155
After round 46, test_loss = 2.104, test_acc = 0.5168
After round 47, test_loss = 2.1021, test_acc = 0.519
After round 48, test_loss = 2.1023, test_acc = 0.5192
After round 49, test_loss = 2.103, test_acc = 0.5196
