After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 1.6755, test_acc = 0.7316
After round 2, test_loss = 1.3113, test_acc = 0.7931
After round 3, test_loss = 1.0976, test_acc = 0.8161
After round 4, test_loss = 0.962, test_acc = 0.8265
After round 5, test_loss = 0.8674, test_acc = 0.8367
After round 6, test_loss = 0.7984, test_acc = 0.8437
After round 7, test_loss = 0.7466, test_acc = 0.8493
After round 8, test_loss = 0.7058, test_acc = 0.8536
After round 9, test_loss = 0.6721, test_acc = 0.8566
After round 10, test_loss = 0.6445, test_acc = 0.8612
After round 11, test_loss = 0.6209, test_acc = 0.8631
After round 12, test_loss = 0.601, test_acc = 0.8642
After round 13, test_loss = 0.5831, test_acc = 0.8673
After round 14, test_loss = 0.568, test_acc = 0.8689
After round 15, test_loss = 0.5544, test_acc = 0.8693
After round 16, test_loss = 0.5422, test_acc = 0.8718
After round 17, test_loss = 0.5312, test_acc = 0.8732
After round 18, test_loss = 0.5212, test_acc = 0.8742
After round 19, test_loss = 0.5121, test_acc = 0.8761
After round 20, test_loss = 0.5036, test_acc = 0.8773
After round 21, test_loss = 0.4958, test_acc = 0.878
After round 22, test_loss = 0.4888, test_acc = 0.8791
After round 23, test_loss = 0.4824, test_acc = 0.8796
After round 24, test_loss = 0.4763, test_acc = 0.8815
After round 25, test_loss = 0.4706, test_acc = 0.8821
After round 26, test_loss = 0.4653, test_acc = 0.8824
After round 27, test_loss = 0.4605, test_acc = 0.8828
After round 28, test_loss = 0.4558, test_acc = 0.8845
After round 29, test_loss = 0.4514, test_acc = 0.8849
After round 30, test_loss = 0.4473, test_acc = 0.8851
After round 31, test_loss = 0.4433, test_acc = 0.8865
After round 32, test_loss = 0.4395, test_acc = 0.8872
After round 33, test_loss = 0.4361, test_acc = 0.8874
After round 34, test_loss = 0.4328, test_acc = 0.8883
After round 35, test_loss = 0.4297, test_acc = 0.8885
After round 36, test_loss = 0.4267, test_acc = 0.8887
After round 37, test_loss = 0.4238, test_acc = 0.8892
After round 38, test_loss = 0.421, test_acc = 0.8897
After round 39, test_loss = 0.4183, test_acc = 0.8901
After round 40, test_loss = 0.4158, test_acc = 0.8909
After round 41, test_loss = 0.4133, test_acc = 0.891
After round 42, test_loss = 0.411, test_acc = 0.8918
After round 43, test_loss = 0.4085, test_acc = 0.8926
After round 44, test_loss = 0.4064, test_acc = 0.8934
After round 45, test_loss = 0.4044, test_acc = 0.893
After round 46, test_loss = 0.4022, test_acc = 0.8945
After round 47, test_loss = 0.4003, test_acc = 0.8944
After round 48, test_loss = 0.3985, test_acc = 0.8948
After round 49, test_loss = 0.3967, test_acc = 0.8955
After round 50, test_loss = 0.3949, test_acc = 0.8959
After round 51, test_loss = 0.3931, test_acc = 0.8964
After round 52, test_loss = 0.3913, test_acc = 0.8967
After round 53, test_loss = 0.3897, test_acc = 0.8974
After round 54, test_loss = 0.3883, test_acc = 0.8976
After round 55, test_loss = 0.3868, test_acc = 0.8979
After round 56, test_loss = 0.3853, test_acc = 0.8978
After round 57, test_loss = 0.3837, test_acc = 0.8985
After round 58, test_loss = 0.3824, test_acc = 0.8986
After round 59, test_loss = 0.3811, test_acc = 0.8989
After round 60, test_loss = 0.3798, test_acc = 0.8991
After round 61, test_loss = 0.3785, test_acc = 0.8995
After round 62, test_loss = 0.3773, test_acc = 0.9002
After round 63, test_loss = 0.376, test_acc = 0.9002
After round 64, test_loss = 0.3746, test_acc = 0.9011
After round 65, test_loss = 0.3736, test_acc = 0.9003
After round 66, test_loss = 0.3725, test_acc = 0.9013
After round 67, test_loss = 0.3713, test_acc = 0.9016
After round 68, test_loss = 0.3703, test_acc = 0.9011
After round 69, test_loss = 0.3692, test_acc = 0.9011
After round 70, test_loss = 0.3683, test_acc = 0.902
After round 71, test_loss = 0.3673, test_acc = 0.9026
After round 72, test_loss = 0.3662, test_acc = 0.9031
After round 73, test_loss = 0.3654, test_acc = 0.9027
After round 74, test_loss = 0.3645, test_acc = 0.9035
After round 75, test_loss = 0.3636, test_acc = 0.9035
After round 76, test_loss = 0.3627, test_acc = 0.9033
After round 77, test_loss = 0.3617, test_acc = 0.9034
After round 78, test_loss = 0.3609, test_acc = 0.9038
After round 79, test_loss = 0.36, test_acc = 0.9044
After round 80, test_loss = 0.3591, test_acc = 0.9041
After round 81, test_loss = 0.3582, test_acc = 0.9041
After round 82, test_loss = 0.3574, test_acc = 0.9042
After round 83, test_loss = 0.3566, test_acc = 0.9044
After round 84, test_loss = 0.3559, test_acc = 0.9046
After round 85, test_loss = 0.355, test_acc = 0.9048
After round 86, test_loss = 0.3543, test_acc = 0.905
After round 87, test_loss = 0.3536, test_acc = 0.905
After round 88, test_loss = 0.3528, test_acc = 0.9053
After round 89, test_loss = 0.3522, test_acc = 0.905
After round 90, test_loss = 0.3513, test_acc = 0.9054
After round 91, test_loss = 0.3507, test_acc = 0.9056
After round 92, test_loss = 0.3501, test_acc = 0.9058
After round 93, test_loss = 0.3494, test_acc = 0.9061
After round 94, test_loss = 0.3489, test_acc = 0.9059
After round 95, test_loss = 0.3483, test_acc = 0.9061
