After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.3173, test_acc = 0.1161
After round 2, test_loss = 2.2946, test_acc = 0.144
After round 3, test_loss = 2.2732, test_acc = 0.1822
After round 4, test_loss = 2.2524, test_acc = 0.2234
After round 5, test_loss = 2.2307, test_acc = 0.2582
After round 6, test_loss = 2.2106, test_acc = 0.2865
After round 7, test_loss = 2.1907, test_acc = 0.3225
After round 8, test_loss = 2.1698, test_acc = 0.3542
After round 9, test_loss = 2.1496, test_acc = 0.3977
After round 10, test_loss = 2.1304, test_acc = 0.4311
After round 11, test_loss = 2.112, test_acc = 0.4574
After round 12, test_loss = 2.0929, test_acc = 0.4815
After round 13, test_loss = 2.0738, test_acc = 0.5021
After round 14, test_loss = 2.0552, test_acc = 0.5226
After round 15, test_loss = 2.0377, test_acc = 0.5481
After round 16, test_loss = 2.02, test_acc = 0.5707
After round 17, test_loss = 2.0031, test_acc = 0.5896
After round 18, test_loss = 1.9859, test_acc = 0.5996
After round 19, test_loss = 1.9688, test_acc = 0.6217
After round 20, test_loss = 1.952, test_acc = 0.6335
After round 21, test_loss = 1.9355, test_acc = 0.6407
After round 22, test_loss = 1.9199, test_acc = 0.6484
After round 23, test_loss = 1.9039, test_acc = 0.6568
After round 24, test_loss = 1.8882, test_acc = 0.6654
After round 25, test_loss = 1.8731, test_acc = 0.6716
After round 26, test_loss = 1.8579, test_acc = 0.6797
After round 27, test_loss = 1.8427, test_acc = 0.6832
After round 28, test_loss = 1.8284, test_acc = 0.6894
After round 29, test_loss = 1.8135, test_acc = 0.6974
After round 30, test_loss = 1.7991, test_acc = 0.7002
After round 31, test_loss = 1.7845, test_acc = 0.7037
After round 32, test_loss = 1.7708, test_acc = 0.7068
After round 33, test_loss = 1.7569, test_acc = 0.7131
After round 34, test_loss = 1.7434, test_acc = 0.7184
After round 35, test_loss = 1.7299, test_acc = 0.728
After round 36, test_loss = 1.7169, test_acc = 0.7283
After round 37, test_loss = 1.7039, test_acc = 0.7304
After round 38, test_loss = 1.6913, test_acc = 0.7335
After round 39, test_loss = 1.6791, test_acc = 0.7375
After round 40, test_loss = 1.6666, test_acc = 0.7398
After round 41, test_loss = 1.6545, test_acc = 0.7453
After round 42, test_loss = 1.6423, test_acc = 0.7488
After round 43, test_loss = 1.6305, test_acc = 0.7502
After round 44, test_loss = 1.6183, test_acc = 0.7512
After round 45, test_loss = 1.6071, test_acc = 0.7542
After round 46, test_loss = 1.5965, test_acc = 0.7511
After round 47, test_loss = 1.5852, test_acc = 0.7549
After round 48, test_loss = 1.5742, test_acc = 0.757
After round 49, test_loss = 1.5633, test_acc = 0.7554
After round 50, test_loss = 1.5532, test_acc = 0.7589
After round 51, test_loss = 1.5432, test_acc = 0.7606
After round 52, test_loss = 1.5327, test_acc = 0.7655
After round 53, test_loss = 1.5225, test_acc = 0.7667
After round 54, test_loss = 1.5126, test_acc = 0.7689
After round 55, test_loss = 1.5028, test_acc = 0.7696
After round 56, test_loss = 1.493, test_acc = 0.7716
After round 57, test_loss = 1.4836, test_acc = 0.7707
After round 58, test_loss = 1.4746, test_acc = 0.7711
After round 59, test_loss = 1.4656, test_acc = 0.7731
After round 60, test_loss = 1.456, test_acc = 0.7753
After round 61, test_loss = 1.4471, test_acc = 0.7771
After round 62, test_loss = 1.4382, test_acc = 0.7778
After round 63, test_loss = 1.4297, test_acc = 0.7768
After round 64, test_loss = 1.4209, test_acc = 0.7788
After round 65, test_loss = 1.4123, test_acc = 0.7806
After round 66, test_loss = 1.4038, test_acc = 0.7806
After round 67, test_loss = 1.3954, test_acc = 0.7842
After round 68, test_loss = 1.3873, test_acc = 0.7826
After round 69, test_loss = 1.3794, test_acc = 0.7836
After round 70, test_loss = 1.3718, test_acc = 0.7847
After round 71, test_loss = 1.3639, test_acc = 0.7874
After round 72, test_loss = 1.3561, test_acc = 0.7853
After round 73, test_loss = 1.3487, test_acc = 0.7859
After round 74, test_loss = 1.3413, test_acc = 0.7869
After round 75, test_loss = 1.3341, test_acc = 0.7879
After round 76, test_loss = 1.327, test_acc = 0.7895
After round 77, test_loss = 1.32, test_acc = 0.7906
After round 78, test_loss = 1.3128, test_acc = 0.7912
After round 79, test_loss = 1.3058, test_acc = 0.7909
After round 80, test_loss = 1.2986, test_acc = 0.7917
After round 81, test_loss = 1.2917, test_acc = 0.7954
After round 82, test_loss = 1.2847, test_acc = 0.7974
After round 83, test_loss = 1.2781, test_acc = 0.7988
After round 84, test_loss = 1.2717, test_acc = 0.7989
After round 85, test_loss = 1.265, test_acc = 0.7997
After round 86, test_loss = 1.2586, test_acc = 0.8017
After round 87, test_loss = 1.2524, test_acc = 0.8023
After round 88, test_loss = 1.2465, test_acc = 0.8019
After round 89, test_loss = 1.2401, test_acc = 0.8031
After round 90, test_loss = 1.2341, test_acc = 0.8032
After round 91, test_loss = 1.2283, test_acc = 0.8001
After round 92, test_loss = 1.2222, test_acc = 0.804
After round 93, test_loss = 1.2166, test_acc = 0.8077
After round 94, test_loss = 1.2109, test_acc = 0.8092
After round 95, test_loss = 1.2053, test_acc = 0.8096
After round 96, test_loss = 1.1996, test_acc = 0.81
After round 97, test_loss = 1.1939, test_acc = 0.8095
After round 98, test_loss = 1.1884, test_acc = 0.8093
After round 99, test_loss = 1.183, test_acc = 0.8108
After round 100, test_loss = 1.1779, test_acc = 0.811
After round 101, test_loss = 1.1725, test_acc = 0.8113
After round 102, test_loss = 1.1673, test_acc = 0.8126
After round 103, test_loss = 1.1622, test_acc = 0.8129
After round 104, test_loss = 1.1572, test_acc = 0.8135
After round 105, test_loss = 1.1523, test_acc = 0.8135
After round 106, test_loss = 1.1474, test_acc = 0.8136
After round 107, test_loss = 1.1426, test_acc = 0.8137
After round 108, test_loss = 1.1379, test_acc = 0.8144
After round 109, test_loss = 1.1331, test_acc = 0.8138
After round 110, test_loss = 1.1286, test_acc = 0.8152
After round 111, test_loss = 1.1239, test_acc = 0.8149
After round 112, test_loss = 1.1193, test_acc = 0.8166
After round 113, test_loss = 1.1147, test_acc = 0.8174
After round 114, test_loss = 1.1101, test_acc = 0.8174
After round 115, test_loss = 1.1058, test_acc = 0.8181
After round 116, test_loss = 1.1014, test_acc = 0.8192
After round 117, test_loss = 1.0971, test_acc = 0.8193
After round 118, test_loss = 1.0928, test_acc = 0.8194
After round 119, test_loss = 1.0887, test_acc = 0.8196
After round 120, test_loss = 1.0845, test_acc = 0.8202
After round 121, test_loss = 1.0803, test_acc = 0.8204
After round 122, test_loss = 1.0762, test_acc = 0.8216
After round 123, test_loss = 1.0721, test_acc = 0.8217
After round 124, test_loss = 1.0682, test_acc = 0.8226
After round 125, test_loss = 1.0644, test_acc = 0.8203
After round 126, test_loss = 1.0605, test_acc = 0.821
After round 127, test_loss = 1.0568, test_acc = 0.8204
After round 128, test_loss = 1.0529, test_acc = 0.8221
After round 129, test_loss = 1.0491, test_acc = 0.8212
After round 130, test_loss = 1.0453, test_acc = 0.8228
After round 131, test_loss = 1.0417, test_acc = 0.8212
After round 132, test_loss = 1.038, test_acc = 0.8236
After round 133, test_loss = 1.0345, test_acc = 0.8217
After round 134, test_loss = 1.0308, test_acc = 0.8215
After round 135, test_loss = 1.0272, test_acc = 0.8228
After round 136, test_loss = 1.0238, test_acc = 0.8245
After round 137, test_loss = 1.0203, test_acc = 0.825
After round 138, test_loss = 1.0168, test_acc = 0.8246
After round 139, test_loss = 1.0136, test_acc = 0.8236
After round 140, test_loss = 1.0103, test_acc = 0.824
After round 141, test_loss = 1.007, test_acc = 0.8241
After round 142, test_loss = 1.0038, test_acc = 0.824
After round 143, test_loss = 1.0008, test_acc = 0.8233
After round 144, test_loss = 0.9973, test_acc = 0.8244
After round 145, test_loss = 0.9942, test_acc = 0.8241
After round 146, test_loss = 0.991, test_acc = 0.8248
After round 147, test_loss = 0.988, test_acc = 0.824
After round 148, test_loss = 0.985, test_acc = 0.8238
After round 149, test_loss = 0.982, test_acc = 0.8246
After round 150, test_loss = 0.979, test_acc = 0.8246
After round 151, test_loss = 0.9759, test_acc = 0.8253
After round 152, test_loss = 0.9727, test_acc = 0.8262
After round 153, test_loss = 0.9696, test_acc = 0.8272
After round 154, test_loss = 0.9664, test_acc = 0.8279
After round 155, test_loss = 0.9635, test_acc = 0.8273
After round 156, test_loss = 0.9606, test_acc = 0.8288
After round 157, test_loss = 0.9577, test_acc = 0.8289
After round 158, test_loss = 0.9547, test_acc = 0.829
After round 159, test_loss = 0.9517, test_acc = 0.8296
After round 160, test_loss = 0.9489, test_acc = 0.8305
After round 161, test_loss = 0.946, test_acc = 0.8304
After round 162, test_loss = 0.9431, test_acc = 0.8314
After round 163, test_loss = 0.9406, test_acc = 0.8321
After round 164, test_loss = 0.9379, test_acc = 0.8323
After round 165, test_loss = 0.9351, test_acc = 0.8333
After round 166, test_loss = 0.9326, test_acc = 0.8343
After round 167, test_loss = 0.93, test_acc = 0.8345
After round 168, test_loss = 0.9275, test_acc = 0.8344
After round 169, test_loss = 0.9249, test_acc = 0.8363
After round 170, test_loss = 0.9224, test_acc = 0.836
After round 171, test_loss = 0.92, test_acc = 0.8368
After round 172, test_loss = 0.9176, test_acc = 0.8372
After round 173, test_loss = 0.9151, test_acc = 0.8375
After round 174, test_loss = 0.9127, test_acc = 0.8374
After round 175, test_loss = 0.9102, test_acc = 0.8373
After round 176, test_loss = 0.9079, test_acc = 0.8367
After round 177, test_loss = 0.9054, test_acc = 0.8384
After round 178, test_loss = 0.9031, test_acc = 0.8375
After round 179, test_loss = 0.9008, test_acc = 0.8378
After round 180, test_loss = 0.8985, test_acc = 0.8371
After round 181, test_loss = 0.8961, test_acc = 0.8372
After round 182, test_loss = 0.8939, test_acc = 0.8377
After round 183, test_loss = 0.8917, test_acc = 0.8371
After round 184, test_loss = 0.8895, test_acc = 0.8387
After round 185, test_loss = 0.8873, test_acc = 0.8385
After round 186, test_loss = 0.885, test_acc = 0.8394
After round 187, test_loss = 0.883, test_acc = 0.8391
After round 188, test_loss = 0.881, test_acc = 0.8385
After round 189, test_loss = 0.8786, test_acc = 0.8388
After round 190, test_loss = 0.8765, test_acc = 0.8396
After round 191, test_loss = 0.8743, test_acc = 0.8403
After round 192, test_loss = 0.8722, test_acc = 0.8395
After round 193, test_loss = 0.8702, test_acc = 0.8395
After round 194, test_loss = 0.868, test_acc = 0.8385
After round 195, test_loss = 0.866, test_acc = 0.8385
After round 196, test_loss = 0.864, test_acc = 0.8391
After round 197, test_loss = 0.8622, test_acc = 0.8386
After round 198, test_loss = 0.8602, test_acc = 0.839
After round 199, test_loss = 0.8583, test_acc = 0.8384
After round 200, test_loss = 0.8564, test_acc = 0.8383
After round 201, test_loss = 0.8546, test_acc = 0.8377
After round 202, test_loss = 0.8527, test_acc = 0.8382
After round 203, test_loss = 0.8508, test_acc = 0.8386
After round 204, test_loss = 0.8489, test_acc = 0.839
After round 205, test_loss = 0.8471, test_acc = 0.8392
After round 206, test_loss = 0.8453, test_acc = 0.8398
After round 207, test_loss = 0.8435, test_acc = 0.8392
After round 208, test_loss = 0.8416, test_acc = 0.8404
After round 209, test_loss = 0.8398, test_acc = 0.8407
After round 210, test_loss = 0.8378, test_acc = 0.8406
After round 211, test_loss = 0.8359, test_acc = 0.8424
After round 212, test_loss = 0.834, test_acc = 0.843
After round 213, test_loss = 0.8323, test_acc = 0.8436
After round 214, test_loss = 0.8306, test_acc = 0.8444
After round 215, test_loss = 0.8288, test_acc = 0.8446
After round 216, test_loss = 0.8271, test_acc = 0.8448
After round 217, test_loss = 0.8254, test_acc = 0.8447
After round 218, test_loss = 0.8236, test_acc = 0.8449
After round 219, test_loss = 0.8219, test_acc = 0.8456
After round 220, test_loss = 0.8203, test_acc = 0.8446
After round 221, test_loss = 0.8185, test_acc = 0.8456
After round 222, test_loss = 0.8169, test_acc = 0.8444
After round 223, test_loss = 0.8153, test_acc = 0.8446
After round 224, test_loss = 0.8137, test_acc = 0.8445
After round 225, test_loss = 0.812, test_acc = 0.8455
After round 226, test_loss = 0.8106, test_acc = 0.8444
After round 227, test_loss = 0.809, test_acc = 0.8445
After round 228, test_loss = 0.8073, test_acc = 0.8453
After round 229, test_loss = 0.8058, test_acc = 0.8454
After round 230, test_loss = 0.8042, test_acc = 0.8457
After round 231, test_loss = 0.8029, test_acc = 0.8448
After round 232, test_loss = 0.8012, test_acc = 0.8463
After round 233, test_loss = 0.7997, test_acc = 0.8459
After round 234, test_loss = 0.7982, test_acc = 0.8466
After round 235, test_loss = 0.7966, test_acc = 0.8464
After round 236, test_loss = 0.7952, test_acc = 0.8463
After round 237, test_loss = 0.7935, test_acc = 0.8471
After round 238, test_loss = 0.792, test_acc = 0.8471
After round 239, test_loss = 0.7905, test_acc = 0.8473
After round 240, test_loss = 0.7891, test_acc = 0.8477
After round 241, test_loss = 0.7876, test_acc = 0.8485
After round 242, test_loss = 0.7862, test_acc = 0.8475
After round 243, test_loss = 0.7847, test_acc = 0.8484
After round 244, test_loss = 0.7832, test_acc = 0.8485
After round 245, test_loss = 0.7819, test_acc = 0.8491
After round 246, test_loss = 0.7805, test_acc = 0.849
After round 247, test_loss = 0.7791, test_acc = 0.8491
After round 248, test_loss = 0.7777, test_acc = 0.8493
After round 249, test_loss = 0.7763, test_acc = 0.8491
After round 250, test_loss = 0.7749, test_acc = 0.8492
After round 251, test_loss = 0.7735, test_acc = 0.8483
After round 252, test_loss = 0.772, test_acc = 0.8492
After round 253, test_loss = 0.7707, test_acc = 0.8492
After round 254, test_loss = 0.7693, test_acc = 0.8498
After round 255, test_loss = 0.768, test_acc = 0.8494
After round 256, test_loss = 0.7669, test_acc = 0.8497
After round 257, test_loss = 0.7656, test_acc = 0.8497
After round 258, test_loss = 0.7644, test_acc = 0.8492
After round 259, test_loss = 0.7631, test_acc = 0.8493
After round 260, test_loss = 0.7618, test_acc = 0.8491
