Starting: 19:09:14:955150
round_1_start: 19:09:16:593468
round_1_model_trained: 19:09:16:714769
round_1_model_shared: 19:09:16:734496
round_1_end: 19:09:16:933647
round_2_start: 19:09:16:933688
round_2_model_trained: 19:09:16:948701
round_2_model_shared: 19:09:16:957639
round_2_end: 19:09:17:114073
round_3_start: 19:09:17:114115
round_3_model_trained: 19:09:17:126186
round_3_model_shared: 19:09:17:133397
round_3_end: 19:09:17:286936
round_4_start: 19:09:17:286975
round_4_model_trained: 19:09:17:301544
round_4_model_shared: 19:09:17:308744
round_4_end: 19:09:17:461618
round_5_start: 19:09:17:461657
round_5_model_trained: 19:09:17:476174
round_5_model_shared: 19:09:17:483414
round_5_end: 19:09:17:652399
round_6_start: 19:09:17:652458
round_6_model_trained: 19:09:17:669002
round_6_model_shared: 19:09:17:676832
round_6_end: 19:09:17:799975
round_7_start: 19:09:17:800020
round_7_model_trained: 19:09:17:814809
round_7_model_shared: 19:09:17:822307
round_7_end: 19:09:17:985972
round_8_start: 19:09:17:986014
round_8_model_trained: 19:09:18:000722
round_8_model_shared: 19:09:18:008760
round_8_end: 19:09:18:144929
round_9_start: 19:09:18:144968
round_9_model_trained: 19:09:18:159126
round_9_model_shared: 19:09:18:167560
round_9_end: 19:09:18:301774
round_10_start: 19:09:18:301812
round_10_model_trained: 19:09:18:313738
round_10_model_shared: 19:09:18:321128
round_10_end: 19:09:18:470857
round_11_start: 19:09:18:470899
round_11_model_trained: 19:09:18:486602
round_11_model_shared: 19:09:18:494014
round_11_end: 19:09:18:618472
round_12_start: 19:09:18:618508
round_12_model_trained: 19:09:18:630505
round_12_model_shared: 19:09:18:637807
round_12_end: 19:09:18:782415
round_13_start: 19:09:18:782450
round_13_model_trained: 19:09:18:794264
round_13_model_shared: 19:09:18:801373
round_13_end: 19:09:18:944859
round_14_start: 19:09:18:944894
round_14_model_trained: 19:09:18:956649
round_14_model_shared: 19:09:18:963797
round_14_end: 19:09:19:104251
round_15_start: 19:09:19:104290
round_15_model_trained: 19:09:19:118687
round_15_model_shared: 19:09:19:126258
round_15_end: 19:09:19:262743
round_16_start: 19:09:19:262785
round_16_model_trained: 19:09:19:275889
round_16_model_shared: 19:09:19:284052
round_16_end: 19:09:19:419337
round_17_start: 19:09:19:419373
round_17_model_trained: 19:09:19:431502
round_17_model_shared: 19:09:19:438721
round_17_end: 19:09:19:575900
round_18_start: 19:09:19:575936
round_18_model_trained: 19:09:19:587678
round_18_model_shared: 19:09:19:595160
round_18_end: 19:09:19:744276
round_19_start: 19:09:19:744316
round_19_model_trained: 19:09:19:758658
round_19_model_shared: 19:09:19:766530
round_19_end: 19:09:19:902723
round_20_start: 19:09:19:902762
round_20_model_trained: 19:09:19:917350
round_20_model_shared: 19:09:19:924819
round_20_end: 19:09:20:063354
round_21_start: 19:09:20:063392
round_21_model_trained: 19:09:20:078086
round_21_model_shared: 19:09:20:085909
round_21_end: 19:09:20:221785
round_22_start: 19:09:20:221820
round_22_model_trained: 19:09:20:233843
round_22_model_shared: 19:09:20:240879
round_22_end: 19:09:20:377081
round_23_start: 19:09:20:377114
round_23_model_trained: 19:09:20:388879
round_23_model_shared: 19:09:20:396253
round_23_end: 19:09:20:537226
round_24_start: 19:09:20:537287
round_24_model_trained: 19:09:20:549262
round_24_model_shared: 19:09:20:556679
round_24_end: 19:09:20:702023
round_25_start: 19:09:20:702064
round_25_model_trained: 19:09:20:716414
round_25_model_shared: 19:09:20:723730
round_25_end: 19:09:20:861699
round_26_start: 19:09:20:861739
round_26_model_trained: 19:09:20:875744
round_26_model_shared: 19:09:20:882985
round_26_end: 19:09:21:021673
round_27_start: 19:09:21:021714
round_27_model_trained: 19:09:21:035629
round_27_model_shared: 19:09:21:042896
round_27_end: 19:09:21:183745
round_28_start: 19:09:21:183780
round_28_model_trained: 19:09:21:195470
round_28_model_shared: 19:09:21:202923
round_28_end: 19:09:21:344702
round_29_start: 19:09:21:344737
round_29_model_trained: 19:09:21:356455
round_29_model_shared: 19:09:21:363563
round_29_end: 19:09:21:510156
round_30_start: 19:09:21:510194
round_30_model_trained: 19:09:21:522283
round_30_model_shared: 19:09:21:529775
round_30_end: 19:09:21:666097
round_31_start: 19:09:21:666135
round_31_model_trained: 19:09:21:678540
round_31_model_shared: 19:09:21:685575
round_31_end: 19:09:21:822333
round_32_start: 19:09:21:822369
round_32_model_trained: 19:09:21:836373
round_32_model_shared: 19:09:21:843520
round_32_end: 19:09:21:984573
round_33_start: 19:09:21:984615
round_33_model_trained: 19:09:21:998913
round_33_model_shared: 19:09:22:006911
round_33_end: 19:09:22:134062
round_34_start: 19:09:22:134098
round_34_model_trained: 19:09:22:148393
round_34_model_shared: 19:09:22:155564
round_34_end: 19:09:22:290459
round_35_start: 19:09:22:290495
round_35_model_trained: 19:09:22:304521
round_35_model_shared: 19:09:22:311668
round_35_end: 19:09:22:448448
round_36_start: 19:09:22:448483
round_36_model_trained: 19:09:22:462509
round_36_model_shared: 19:09:22:469755
round_36_end: 19:09:22:603828
round_37_start: 19:09:22:603863
round_37_model_trained: 19:09:22:617838
round_37_model_shared: 19:09:22:625253
round_37_end: 19:09:22:783413
round_38_start: 19:09:22:783451
round_38_model_trained: 19:09:22:797403
round_38_model_shared: 19:09:22:805254
round_38_end: 19:09:22:935689
round_39_start: 19:09:22:935729
round_39_model_trained: 19:09:22:949981
round_39_model_shared: 19:09:22:957576
round_39_end: 19:09:23:089324
round_40_start: 19:09:23:089363
round_40_model_trained: 19:09:23:101168
round_40_model_shared: 19:09:23:108758
round_40_end: 19:09:23:248484
round_41_start: 19:09:23:248519
round_41_model_trained: 19:09:23:260376
round_41_model_shared: 19:09:23:267528
round_41_end: 19:09:23:403392
round_42_start: 19:09:23:403435
round_42_model_trained: 19:09:23:417542
round_42_model_shared: 19:09:23:424773
round_42_end: 19:09:23:563019
round_43_start: 19:09:23:563064
round_43_model_trained: 19:09:23:577683
round_43_model_shared: 19:09:23:584919
