Starting: 17:34:12:019697
round_1_start: 17:34:12:019730
round_1_received_params: 17:34:35:422301
round_1_aggregation: 17:34:35:422542
round_1_end: 17:34:35:450615
round_2_start: 17:34:35:450675
round_2_received_params: 17:34:35:701263
round_2_aggregation: 17:34:35:701415
round_2_end: 17:34:35:711683
round_3_start: 17:34:35:711752
round_3_received_params: 17:34:35:946915
round_3_aggregation: 17:34:35:947102
round_3_end: 17:34:35:958624
round_4_start: 17:34:35:958681
round_4_received_params: 17:34:36:150819
round_4_aggregation: 17:34:36:151035
round_4_end: 17:34:36:162823
round_5_start: 17:34:36:162885
round_5_received_params: 17:34:36:347958
round_5_aggregation: 17:34:36:348120
round_5_end: 17:34:36:357856
round_6_start: 17:34:36:357911
round_6_received_params: 17:34:36:545723
round_6_aggregation: 17:34:36:545865
round_6_end: 17:34:36:555797
round_7_start: 17:34:36:555850
round_7_received_params: 17:34:36:757794
round_7_aggregation: 17:34:36:758020
round_7_end: 17:34:36:767600
round_8_start: 17:34:36:767659
round_8_received_params: 17:34:36:956135
round_8_aggregation: 17:34:36:956272
round_8_end: 17:34:36:966028
round_9_start: 17:34:36:966086
round_9_received_params: 17:34:37:162723
round_9_aggregation: 17:34:37:162867
round_9_end: 17:34:37:172902
round_10_start: 17:34:37:172995
round_10_received_params: 17:34:37:354796
round_10_aggregation: 17:34:37:354891
round_10_end: 17:34:37:364675
round_11_start: 17:34:37:364731
round_11_received_params: 17:34:37:551316
round_11_aggregation: 17:34:37:551427
round_11_end: 17:34:37:561072
round_12_start: 17:34:37:561135
round_12_received_params: 17:34:37:741475
round_12_aggregation: 17:34:37:741586
round_12_end: 17:34:37:751208
round_13_start: 17:34:37:751262
round_13_received_params: 17:34:37:934792
round_13_aggregation: 17:34:37:934946
round_13_end: 17:34:37:944993
round_14_start: 17:34:37:945089
round_14_received_params: 17:34:38:125293
round_14_aggregation: 17:34:38:125415
round_14_end: 17:34:38:135072
round_15_start: 17:34:38:135147
round_15_received_params: 17:34:38:318915
round_15_aggregation: 17:34:38:319056
round_15_end: 17:34:38:329894
round_16_start: 17:34:38:329965
round_16_received_params: 17:34:38:505746
round_16_aggregation: 17:34:38:505857
round_16_end: 17:34:38:516520
round_17_start: 17:34:38:516572
round_17_received_params: 17:34:38:697579
round_17_aggregation: 17:34:38:697680
round_17_end: 17:34:38:708433
round_18_start: 17:34:38:708483
round_18_received_params: 17:34:38:892445
round_18_aggregation: 17:34:38:892530
round_18_end: 17:34:38:903263
round_19_start: 17:34:38:903320
round_19_received_params: 17:34:39:091671
round_19_aggregation: 17:34:39:091789
round_19_end: 17:34:39:102232
round_20_start: 17:34:39:102283
round_20_received_params: 17:34:39:279157
round_20_aggregation: 17:34:39:279265
round_20_end: 17:34:39:290357
round_21_start: 17:34:39:290413
round_21_received_params: 17:34:39:483559
round_21_aggregation: 17:34:39:483638
round_21_end: 17:34:39:493332
round_22_start: 17:34:39:493389
round_22_received_params: 17:34:39:666825
round_22_aggregation: 17:34:39:666933
round_22_end: 17:34:39:676707
round_23_start: 17:34:39:676772
round_23_received_params: 17:34:39:860020
round_23_aggregation: 17:34:39:860108
round_23_end: 17:34:39:869734
round_24_start: 17:34:39:869795
round_24_received_params: 17:34:40:063955
round_24_aggregation: 17:34:40:064049
round_24_end: 17:34:40:073622
round_25_start: 17:34:40:073682
round_25_received_params: 17:34:40:260201
round_25_aggregation: 17:34:40:260318
round_25_end: 17:34:40:270356
round_26_start: 17:34:40:270419
round_26_received_params: 17:34:40:459385
round_26_aggregation: 17:34:40:459468
round_26_end: 17:34:40:469171
round_27_start: 17:34:40:469229
round_27_received_params: 17:34:40:653450
round_27_aggregation: 17:34:40:653698
round_27_end: 17:34:40:664368
round_28_start: 17:34:40:664454
round_28_received_params: 17:34:40:845034
round_28_aggregation: 17:34:40:845146
round_28_end: 17:34:40:854866
round_29_start: 17:34:40:854930
round_29_received_params: 17:34:41:033129
round_29_aggregation: 17:34:41:033208
round_29_end: 17:34:41:042995
round_30_start: 17:34:41:043055
round_30_received_params: 17:34:41:229465
round_30_aggregation: 17:34:41:229562
round_30_end: 17:34:41:240102
round_31_start: 17:34:41:240188
round_31_received_params: 17:34:41:438626
round_31_aggregation: 17:34:41:438816
round_31_end: 17:34:41:448679
round_32_start: 17:34:41:448733
round_32_received_params: 17:34:41:633689
round_32_aggregation: 17:34:41:633796
round_32_end: 17:34:41:643347
round_33_start: 17:34:41:643406
round_33_received_params: 17:34:41:818470
round_33_aggregation: 17:34:41:818570
round_33_end: 17:34:41:829261
round_34_start: 17:34:41:829319
round_34_received_params: 17:34:42:026175
round_34_aggregation: 17:34:42:026248
round_34_end: 17:34:42:037073
round_35_start: 17:34:42:037119
round_35_received_params: 17:34:42:223610
round_35_aggregation: 17:34:42:223722
round_35_end: 17:34:42:233409
round_36_start: 17:34:42:233472
round_36_received_params: 17:34:42:412723
round_36_aggregation: 17:34:42:412845
round_36_end: 17:34:42:422564
round_37_start: 17:34:42:422650
round_37_received_params: 17:34:42:602355
round_37_aggregation: 17:34:42:602452
round_37_end: 17:34:42:612213
round_38_start: 17:34:42:612278
round_38_received_params: 17:34:42:793638
round_38_aggregation: 17:34:42:793723
round_38_end: 17:34:42:803438
round_39_start: 17:34:42:803499
round_39_received_params: 17:34:42:992189
round_39_aggregation: 17:34:42:992267
round_39_end: 17:34:43:001900
round_40_start: 17:34:43:002006
round_40_received_params: 17:34:43:180416
round_40_aggregation: 17:34:43:180509
round_40_end: 17:34:43:190240
round_41_start: 17:34:43:190296
round_41_received_params: 17:34:43:370258
round_41_aggregation: 17:34:43:370333
round_41_end: 17:34:43:380428
round_42_start: 17:34:43:380492
round_42_received_params: 17:34:43:559175
round_42_aggregation: 17:34:43:559286
round_42_end: 17:34:43:570038
round_43_start: 17:34:43:570114
round_43_received_params: 17:34:43:749405
round_43_aggregation: 17:34:43:749507
round_43_end: 17:34:43:761636
round_44_start: 17:34:43:761718
round_44_received_params: 17:34:43:945187
round_44_aggregation: 17:34:43:945264
round_44_end: 17:34:43:954848
round_45_start: 17:34:43:954907
round_45_received_params: 17:34:44:137180
round_45_aggregation: 17:34:44:137251
round_45_end: 17:34:44:146930
round_46_start: 17:34:44:146983
round_46_received_params: 17:34:44:337715
round_46_aggregation: 17:34:44:337815
round_46_end: 17:34:44:347300
round_47_start: 17:34:44:347378
round_47_received_params: 17:34:44:531374
round_47_aggregation: 17:34:44:531445
round_47_end: 17:34:44:541073
round_48_start: 17:34:44:541138
round_48_received_params: 17:34:44:716626
round_48_aggregation: 17:34:44:716705
round_48_end: 17:34:44:727334
round_49_start: 17:34:44:727422
round_49_received_params: 17:34:44:903733
round_49_aggregation: 17:34:44:903797
round_49_end: 17:34:44:914363
round_50_start: 17:34:44:914414
round_50_received_params: 17:34:45:090835
round_50_aggregation: 17:34:45:090928
round_50_end: 17:34:45:101685
round_51_start: 17:34:45:101736
round_51_received_params: 17:34:45:279305
round_51_aggregation: 17:34:45:279385
round_51_end: 17:34:45:290009
round_52_start: 17:34:45:290057
round_52_received_params: 17:34:45:467618
round_52_aggregation: 17:34:45:467733
round_52_end: 17:34:45:478443
round_53_start: 17:34:45:478522
round_53_received_params: 17:34:45:654269
round_53_aggregation: 17:34:45:654365
round_53_end: 17:34:45:664947
round_54_start: 17:34:45:665022
round_54_received_params: 17:34:45:848637
round_54_aggregation: 17:34:45:848730
round_54_end: 17:34:45:859325
round_55_start: 17:34:45:859374
round_55_received_params: 17:34:46:038291
round_55_aggregation: 17:34:46:038410
round_55_end: 17:34:46:049113
round_56_start: 17:34:46:049179
round_56_received_params: 17:34:46:228388
round_56_aggregation: 17:34:46:228471
round_56_end: 17:34:46:239067
round_57_start: 17:34:46:239118
round_57_received_params: 17:34:46:416470
round_57_aggregation: 17:34:46:416573
round_57_end: 17:34:46:427351
round_58_start: 17:34:46:427413
round_58_received_params: 17:34:46:605865
round_58_aggregation: 17:34:46:605968
round_58_end: 17:34:46:616515
round_59_start: 17:34:46:616572
round_59_received_params: 17:34:46:801499
round_59_aggregation: 17:34:46:801593
round_59_end: 17:34:46:811240
round_60_start: 17:34:46:811299
round_60_received_params: 17:34:46:994163
round_60_aggregation: 17:34:46:994312
round_60_end: 17:34:47:004971
round_61_start: 17:34:47:005042
round_61_received_params: 17:34:47:186348
round_61_aggregation: 17:34:47:186421
round_61_end: 17:34:47:196877
round_62_start: 17:34:47:196926
round_62_received_params: 17:34:47:382130
round_62_aggregation: 17:34:47:382230
round_62_end: 17:34:47:392999
round_63_start: 17:34:47:393049
round_63_received_params: 17:34:47:571581
round_63_aggregation: 17:34:47:571667
round_63_end: 17:34:47:580866
round_64_start: 17:34:47:580937
round_64_received_params: 17:34:47:760360
round_64_aggregation: 17:34:47:760436
round_64_end: 17:34:47:769711
round_65_start: 17:34:47:769755
round_65_received_params: 17:34:47:951142
round_65_aggregation: 17:34:47:951254
round_65_end: 17:34:47:960655
round_66_start: 17:34:47:960716
round_66_received_params: 17:34:48:138561
round_66_aggregation: 17:34:48:138635
round_66_end: 17:34:48:147995
round_67_start: 17:34:48:148045
round_67_received_params: 17:34:48:328323
round_67_aggregation: 17:34:48:328439
round_67_end: 17:34:48:337739
round_68_start: 17:34:48:337798
round_68_received_params: 17:34:48:526515
round_68_aggregation: 17:34:48:526593
round_68_end: 17:34:48:535896
round_69_start: 17:34:48:535951
round_69_received_params: 17:34:48:723754
round_69_aggregation: 17:34:48:723832
round_69_end: 17:34:48:735392
round_70_start: 17:34:48:735456
round_70_received_params: 17:34:48:917280
round_70_aggregation: 17:34:48:917357
round_70_end: 17:34:48:928960
round_71_start: 17:34:48:929021
round_71_received_params: 17:34:49:105102
round_71_aggregation: 17:34:49:105177
round_71_end: 17:34:49:116701
round_72_start: 17:34:49:116759
round_72_received_params: 17:34:49:296877
round_72_aggregation: 17:34:49:296965
round_72_end: 17:34:49:308490
round_73_start: 17:34:49:308552
round_73_received_params: 17:34:49:482694
round_73_aggregation: 17:34:49:482858
round_73_end: 17:34:49:494458
round_74_start: 17:34:49:494536
round_74_received_params: 17:34:49:677572
round_74_aggregation: 17:34:49:677688
round_74_end: 17:34:49:689494
round_75_start: 17:34:49:689544
round_75_received_params: 17:34:49:862078
round_75_aggregation: 17:34:49:862160
round_75_end: 17:34:49:873659
round_76_start: 17:34:49:873713
round_76_received_params: 17:34:50:052041
round_76_aggregation: 17:34:50:052127
round_76_end: 17:34:50:063675
round_77_start: 17:34:50:063739
round_77_received_params: 17:34:50:262245
round_77_aggregation: 17:34:50:262373
round_77_end: 17:34:50:273921
round_78_start: 17:34:50:274017
round_78_received_params: 17:34:50:455227
round_78_aggregation: 17:34:50:455343
round_78_end: 17:34:50:467032
round_79_start: 17:34:50:467111
round_79_received_params: 17:34:50:646382
round_79_aggregation: 17:34:50:646514
round_79_end: 17:34:50:657976
round_80_start: 17:34:50:658060
round_80_received_params: 17:34:50:839724
