Round 1: 0,1,2,3,
Round 2: 0,3,2,4,
Round 3: 2,0,4,3,
Round 4: 0,2,3,4,
Round 5: 2,4,1,3,
Round 6: 1,3,0,2,
Round 7: 3,1,0,2,
Round 8: 1,3,2,4,
Round 9: 3,1,2,4,
Round 10: 3,1,2,4,
Round 11: 1,2,3,4,
Round 12: 2,1,3,4,
Round 13: 2,1,3,4,
Round 14: 2,1,3,0,
Round 15: 3,1,2,4,
Round 16: 1,2,3,4,
Round 17: 3,1,2,4,
Round 18: 3,0,1,2,
Round 19: 0,1,2,4,
Round 20: 0,1,3,4,
Round 21: 0,3,1,4,
Round 22: 3,1,0,4,
Round 23: 0,1,3,2,
Round 24: 0,3,4,1,
Round 25: 0,4,3,2,
Round 26: 0,3,2,1,
Round 27: 0,3,2,1,
Round 28: 0,2,3,1,
Round 29: 3,2,0,1,
Round 30: 1,0,2,3,
Round 31: 0,2,1,3,
Round 32: 0,2,3,1,
Round 33: 3,0,2,1,
Round 34: 3,0,2,1,
Round 35: 0,2,1,3,
Round 36: 1,2,3,0,
Round 37: 3,0,1,2,
Round 38: 0,1,3,2,
Round 39: 0,1,2,4,
Round 40: 1,0,2,3,
Round 41: 0,1,2,3,
Round 42: 1,0,3,4,
Round 43: 0,1,3,4,
Round 44: 1,3,2,4,
Round 45: 1,3,2,4,
Round 46: 2,3,0,4,
Round 47: 0,2,3,1,
Round 48: 3,0,2,1,
Round 49: 3,0,2,1,
Round 50: 3,2,0,1,
Round 51: 0,2,3,4,
Round 52: 3,0,2,4,
Round 53: 3,2,0,4,
Round 54: 0,2,3,4,
Round 55: 0,2,4,3,
Round 56: 3,0,1,2,
Round 57: 3,0,1,2,
Round 58: 3,1,0,4,
Round 59: 0,3,1,2,
Round 60: 3,0,2,4,
Round 61: 3,0,2,4,
Round 62: 3,2,0,4,
Round 63: 2,3,4,0,
Round 64: 3,2,4,1,
Round 65: 3,2,4,1,
Round 66: 3,2,4,1,
Round 67: 2,4,1,0,
Round 68: 2,0,1,4,
Round 69: 0,2,1,3,
Round 70: 1,0,2,3,
Round 71: 0,1,2,3,
Round 72: 0,1,3,2,
Round 73: 3,0,1,4,
Round 74: 3,0,1,4,
Round 75: 0,3,2,1,
Round 76: 3,0,4,1,
Round 77: 0,3,4,2,
Round 78: 3,0,2,4,
Round 79: 2,1,0,3,
Round 80: 2,0,1,3,
Round 81: 0,2,3,1,
Round 82: 3,0,1,2,
Round 83: 0,3,2,1,
Round 84: 0,3,2,1,
Round 85: 0,2,3,1,
Round 86: 3,0,2,4,
Round 87: 3,0,2,4,
Round 88: 3,0,2,1,
Round 89: 3,2,0,4,
Round 90: 0,2,1,4,
Round 91: 0,2,3,4,
Round 92: 2,3,0,4,
Round 93: 2,0,3,4,
Round 94: 2,3,4,1,
Round 95: 3,1,2,0,
Round 96: 3,2,0,1,
Round 97: 3,0,1,4,
Round 98: 3,1,2,4,
Round 99: 3,2,1,4,
Round 100: 3,1,2,4,
