Starting: 17:45:54:482096
round_1_start: 17:45:54:482128
round_1_received_params: 17:45:54:520248
received_params: 17:45:55:112984
round_1_aggregation: 17:45:55:112995
round_1_end: 17:45:55:190963
round_2_start: 17:45:55:190997
round_2_received_params: 17:45:55:857269
received_params: 17:45:55:874292
received_params: 17:45:55:878523
round_2_aggregation: 17:45:55:878533
round_2_end: 17:45:55:950905
round_3_start: 17:45:55:950949
round_3_received_params: 17:45:56:589402
received_params: 17:45:56:601550
received_params: 17:45:56:627838
round_3_aggregation: 17:45:56:627847
round_3_end: 17:45:56:696277
round_4_start: 17:45:56:696336
round_4_received_params: 17:45:57:350520
received_params: 17:45:57:370097
received_params: 17:45:57:375104
round_4_aggregation: 17:45:57:375113
round_4_end: 17:45:57:461199
round_5_start: 17:45:57:461246
round_5_received_params: 17:45:58:093657
received_params: 17:45:58:097953
received_params: 17:45:58:128935
round_5_aggregation: 17:45:58:128944
round_5_end: 17:45:58:215642
round_6_start: 17:45:58:215689
round_6_received_params: 17:45:58:841821
received_params: 17:45:58:850183
received_params: 17:45:58:870035
round_6_aggregation: 17:45:58:870045
round_6_end: 17:45:58:945595
round_7_start: 17:45:58:945642
round_7_received_params: 17:45:59:587282
received_params: 17:45:59:605191
received_params: 17:45:59:612483
round_7_aggregation: 17:45:59:612492
round_7_end: 17:45:59:669978
round_8_start: 17:45:59:670014
round_8_received_params: 17:46:00:328976
received_params: 17:46:00:333227
received_params: 17:46:00:337464
round_8_aggregation: 17:46:00:337471
round_8_end: 17:46:00:413637
round_9_start: 17:46:00:413684
round_9_received_params: 17:46:01:037613
received_params: 17:46:01:045480
received_params: 17:46:01:061428
round_9_aggregation: 17:46:01:061438
round_9_end: 17:46:01:121231
round_10_start: 17:46:01:121268
round_10_received_params: 17:46:01:774718
received_params: 17:46:01:784926
received_params: 17:46:01:789202
round_10_aggregation: 17:46:01:789211
round_10_end: 17:46:01:900182
end: 17:46:01:900285
