After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 1.6752, test_acc = 0.7327
After round 2, test_loss = 1.3096, test_acc = 0.7912
After round 3, test_loss = 1.0971, test_acc = 0.8151
After round 4, test_loss = 0.9617, test_acc = 0.8263
After round 5, test_loss = 0.8681, test_acc = 0.8353
After round 6, test_loss = 0.8001, test_acc = 0.8437
After round 7, test_loss = 0.7479, test_acc = 0.8485
After round 8, test_loss = 0.707, test_acc = 0.8545
After round 9, test_loss = 0.6735, test_acc = 0.8577
After round 10, test_loss = 0.6458, test_acc = 0.8613
After round 11, test_loss = 0.6222, test_acc = 0.8625
After round 12, test_loss = 0.6023, test_acc = 0.865
After round 13, test_loss = 0.5848, test_acc = 0.8679
After round 14, test_loss = 0.5693, test_acc = 0.8686
After round 15, test_loss = 0.5557, test_acc = 0.8706
After round 16, test_loss = 0.5435, test_acc = 0.8725
After round 17, test_loss = 0.5327, test_acc = 0.8731
After round 18, test_loss = 0.5225, test_acc = 0.8746
After round 19, test_loss = 0.5134, test_acc = 0.8754
After round 20, test_loss = 0.5051, test_acc = 0.8759
After round 21, test_loss = 0.4976, test_acc = 0.8766
After round 22, test_loss = 0.4904, test_acc = 0.8778
After round 23, test_loss = 0.484, test_acc = 0.8784
After round 24, test_loss = 0.4779, test_acc = 0.8795
After round 25, test_loss = 0.4722, test_acc = 0.8801
After round 26, test_loss = 0.4669, test_acc = 0.8809
After round 27, test_loss = 0.462, test_acc = 0.8808
After round 28, test_loss = 0.4573, test_acc = 0.8828
After round 29, test_loss = 0.4529, test_acc = 0.883
After round 30, test_loss = 0.4487, test_acc = 0.8838
After round 31, test_loss = 0.4447, test_acc = 0.8847
After round 32, test_loss = 0.441, test_acc = 0.8849
After round 33, test_loss = 0.4376, test_acc = 0.885
After round 34, test_loss = 0.4342, test_acc = 0.8857
After round 35, test_loss = 0.431, test_acc = 0.8867
After round 36, test_loss = 0.4278, test_acc = 0.887
After round 37, test_loss = 0.4249, test_acc = 0.8875
After round 38, test_loss = 0.4221, test_acc = 0.888
After round 39, test_loss = 0.4196, test_acc = 0.8886
After round 40, test_loss = 0.4169, test_acc = 0.889
After round 41, test_loss = 0.4144, test_acc = 0.8896
After round 42, test_loss = 0.412, test_acc = 0.8898
After round 43, test_loss = 0.4097, test_acc = 0.8908
After round 44, test_loss = 0.4075, test_acc = 0.8916
After round 45, test_loss = 0.4055, test_acc = 0.8917
After round 46, test_loss = 0.4033, test_acc = 0.8924
After round 47, test_loss = 0.4015, test_acc = 0.8932
After round 48, test_loss = 0.3995, test_acc = 0.8934
After round 49, test_loss = 0.3977, test_acc = 0.8938
After round 50, test_loss = 0.396, test_acc = 0.8939
After round 51, test_loss = 0.3942, test_acc = 0.8944
After round 52, test_loss = 0.3925, test_acc = 0.8954
After round 53, test_loss = 0.3909, test_acc = 0.8959
After round 54, test_loss = 0.3894, test_acc = 0.8954
After round 55, test_loss = 0.3878, test_acc = 0.8977
After round 56, test_loss = 0.3864, test_acc = 0.8978
After round 57, test_loss = 0.3849, test_acc = 0.8981
After round 58, test_loss = 0.3836, test_acc = 0.8984
After round 59, test_loss = 0.3822, test_acc = 0.8983
After round 60, test_loss = 0.3809, test_acc = 0.8989
After round 61, test_loss = 0.3795, test_acc = 0.8992
After round 62, test_loss = 0.3783, test_acc = 0.8995
After round 63, test_loss = 0.3772, test_acc = 0.8999
After round 64, test_loss = 0.3759, test_acc = 0.8999
After round 65, test_loss = 0.3747, test_acc = 0.9002
After round 66, test_loss = 0.3736, test_acc = 0.9005
After round 67, test_loss = 0.3725, test_acc = 0.9004
After round 68, test_loss = 0.3715, test_acc = 0.9008
After round 69, test_loss = 0.3704, test_acc = 0.9011
After round 70, test_loss = 0.3695, test_acc = 0.9015
After round 71, test_loss = 0.3685, test_acc = 0.9012
After round 72, test_loss = 0.3675, test_acc = 0.9014
After round 73, test_loss = 0.3666, test_acc = 0.9016
After round 74, test_loss = 0.3656, test_acc = 0.9013
After round 75, test_loss = 0.3646, test_acc = 0.9019
After round 76, test_loss = 0.3638, test_acc = 0.902
After round 77, test_loss = 0.363, test_acc = 0.9021
After round 78, test_loss = 0.3621, test_acc = 0.9023
After round 79, test_loss = 0.3613, test_acc = 0.9025
After round 80, test_loss = 0.3604, test_acc = 0.9026
After round 81, test_loss = 0.3596, test_acc = 0.9029
After round 82, test_loss = 0.3588, test_acc = 0.9029
After round 83, test_loss = 0.3581, test_acc = 0.9031
After round 84, test_loss = 0.3573, test_acc = 0.903
After round 85, test_loss = 0.3566, test_acc = 0.9034
After round 86, test_loss = 0.3558, test_acc = 0.9037
After round 87, test_loss = 0.3551, test_acc = 0.9038
After round 88, test_loss = 0.3544, test_acc = 0.904
After round 89, test_loss = 0.3538, test_acc = 0.9044
After round 90, test_loss = 0.353, test_acc = 0.9044
After round 91, test_loss = 0.3524, test_acc = 0.9046
