After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.2998, test_acc = 0.304
After round 2, test_loss = 2.3798, test_acc = 0.3839
After round 3, test_loss = 2.4436, test_acc = 0.4509
After round 4, test_loss = 2.5068, test_acc = 0.484
After round 5, test_loss = 2.5645, test_acc = 0.5021
After round 6, test_loss = 2.6159, test_acc = 0.5166
After round 7, test_loss = 2.2501, test_acc = 0.5151
After round 8, test_loss = 1.9385, test_acc = 0.5363
After round 9, test_loss = 1.6707, test_acc = 0.5674
After round 10, test_loss = 1.4066, test_acc = 0.653
After round 11, test_loss = 1.4529, test_acc = 0.6235
After round 12, test_loss = 1.356, test_acc = 0.6052
After round 13, test_loss = 1.2285, test_acc = 0.683
After round 14, test_loss = 1.2369, test_acc = 0.607
After round 15, test_loss = 1.1275, test_acc = 0.5759
After round 16, test_loss = 0.8615, test_acc = 0.7565
After round 17, test_loss = 0.9137, test_acc = 0.6985
After round 18, test_loss = 0.9385, test_acc = 0.6872
After round 19, test_loss = 1.0095, test_acc = 0.6928
After round 20, test_loss = 1.0684, test_acc = 0.6986
After round 21, test_loss = 1.1176, test_acc = 0.701
After round 22, test_loss = 0.8879, test_acc = 0.6768
After round 23, test_loss = 0.9435, test_acc = 0.6967
After round 24, test_loss = 0.8141, test_acc = 0.6908
After round 25, test_loss = 0.7309, test_acc = 0.8031
After round 26, test_loss = 0.8157, test_acc = 0.7466
After round 27, test_loss = 0.6278, test_acc = 0.8534
After round 28, test_loss = 0.755, test_acc = 0.7235
After round 29, test_loss = 0.811, test_acc = 0.7215
After round 30, test_loss = 0.668, test_acc = 0.787
After round 31, test_loss = 0.631, test_acc = 0.8038
After round 32, test_loss = 0.6874, test_acc = 0.7887
After round 33, test_loss = 0.7506, test_acc = 0.7788
After round 34, test_loss = 0.6736, test_acc = 0.779
After round 35, test_loss = 0.6612, test_acc = 0.7981
After round 36, test_loss = 0.6797, test_acc = 0.7578
After round 37, test_loss = 0.5918, test_acc = 0.8447
After round 38, test_loss = 0.5664, test_acc = 0.8618
After round 39, test_loss = 0.5759, test_acc = 0.8486
After round 40, test_loss = 0.6979, test_acc = 0.7516
After round 41, test_loss = 0.6377, test_acc = 0.7981
After round 42, test_loss = 0.678, test_acc = 0.7559
After round 43, test_loss = 0.5478, test_acc = 0.8475
After round 44, test_loss = 0.5943, test_acc = 0.8079
After round 45, test_loss = 0.6175, test_acc = 0.7946
After round 46, test_loss = 0.5153, test_acc = 0.8688
After round 47, test_loss = 0.5558, test_acc = 0.842
After round 48, test_loss = 0.5686, test_acc = 0.824
After round 49, test_loss = 0.609, test_acc = 0.7984
After round 50, test_loss = 0.5134, test_acc = 0.8598
After round 51, test_loss = 0.5538, test_acc = 0.8428
After round 52, test_loss = 0.5568, test_acc = 0.8139
After round 53, test_loss = 0.5486, test_acc = 0.8365
After round 54, test_loss = 0.5406, test_acc = 0.8421
After round 55, test_loss = 0.628, test_acc = 0.7782
After round 56, test_loss = 0.6137, test_acc = 0.7983
After round 57, test_loss = 0.5331, test_acc = 0.8437
After round 58, test_loss = 0.5058, test_acc = 0.8592
After round 59, test_loss = 0.5288, test_acc = 0.85
After round 60, test_loss = 0.4895, test_acc = 0.8694
After round 61, test_loss = 0.4782, test_acc = 0.8716
After round 62, test_loss = 0.4835, test_acc = 0.8672
After round 63, test_loss = 0.5169, test_acc = 0.8458
After round 64, test_loss = 0.5746, test_acc = 0.8098
After round 65, test_loss = 0.5527, test_acc = 0.8181
After round 66, test_loss = 0.472, test_acc = 0.8762
After round 67, test_loss = 0.5037, test_acc = 0.8533
After round 68, test_loss = 0.541, test_acc = 0.8306
After round 69, test_loss = 0.4773, test_acc = 0.8697
After round 70, test_loss = 0.5, test_acc = 0.8552
After round 71, test_loss = 0.4638, test_acc = 0.8707
After round 72, test_loss = 0.46, test_acc = 0.8706
After round 73, test_loss = 0.4565, test_acc = 0.8774
After round 74, test_loss = 0.4794, test_acc = 0.8699
After round 75, test_loss = 0.5261, test_acc = 0.8261
After round 76, test_loss = 0.4498, test_acc = 0.8814
After round 77, test_loss = 0.4477, test_acc = 0.88
After round 78, test_loss = 0.4604, test_acc = 0.8737
After round 79, test_loss = 0.457, test_acc = 0.8719
After round 80, test_loss = 0.4672, test_acc = 0.8715
After round 81, test_loss = 0.4702, test_acc = 0.8629
After round 82, test_loss = 0.484, test_acc = 0.856
After round 83, test_loss = 0.5391, test_acc = 0.8252
After round 84, test_loss = 0.4894, test_acc = 0.8547
After round 85, test_loss = 0.4435, test_acc = 0.8846
After round 86, test_loss = 0.452, test_acc = 0.8779
After round 87, test_loss = 0.4637, test_acc = 0.8709
After round 88, test_loss = 0.4325, test_acc = 0.8832
After round 89, test_loss = 0.4556, test_acc = 0.8683
After round 90, test_loss = 0.4173, test_acc = 0.8926
After round 91, test_loss = 0.4627, test_acc = 0.8608
After round 92, test_loss = 0.4665, test_acc = 0.8632
After round 93, test_loss = 0.4704, test_acc = 0.8523
After round 94, test_loss = 0.5091, test_acc = 0.8291
After round 95, test_loss = 0.5582, test_acc = 0.8174
After round 96, test_loss = 0.6082, test_acc = 0.7952
After round 97, test_loss = 0.49, test_acc = 0.8419
After round 98, test_loss = 0.4807, test_acc = 0.8448
After round 99, test_loss = 0.4426, test_acc = 0.8744
After round 100, test_loss = 0.5314, test_acc = 0.8156
After round 101, test_loss = 0.4448, test_acc = 0.8706
After round 102, test_loss = 0.4707, test_acc = 0.851
After round 103, test_loss = 0.4306, test_acc = 0.8784
After round 104, test_loss = 0.3992, test_acc = 0.8965
After round 105, test_loss = 0.4063, test_acc = 0.8907
After round 106, test_loss = 0.4159, test_acc = 0.8882
After round 107, test_loss = 0.418, test_acc = 0.8834
After round 108, test_loss = 0.4296, test_acc = 0.8759
After round 109, test_loss = 0.4227, test_acc = 0.8861
After round 110, test_loss = 0.4044, test_acc = 0.8903
After round 111, test_loss = 0.4056, test_acc = 0.8926
After round 112, test_loss = 0.4329, test_acc = 0.877
After round 113, test_loss = 0.406, test_acc = 0.8915
After round 114, test_loss = 0.4685, test_acc = 0.8548
After round 115, test_loss = 0.5563, test_acc = 0.8011
After round 116, test_loss = 0.4255, test_acc = 0.8783
After round 117, test_loss = 0.4165, test_acc = 0.8846
After round 118, test_loss = 0.459, test_acc = 0.854
After round 119, test_loss = 0.4931, test_acc = 0.8336
After round 120, test_loss = 0.5417, test_acc = 0.806
After round 121, test_loss = 0.543, test_acc = 0.8131
After round 122, test_loss = 0.5734, test_acc = 0.8081
After round 123, test_loss = 0.6055, test_acc = 0.8011
After round 124, test_loss = 0.6428, test_acc = 0.7947
After round 125, test_loss = 0.5172, test_acc = 0.8289
After round 126, test_loss = 0.4568, test_acc = 0.8621
After round 127, test_loss = 0.4736, test_acc = 0.8492
After round 128, test_loss = 0.5056, test_acc = 0.8309
