After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.3169, test_acc = 0.1139
After round 2, test_loss = 2.2951, test_acc = 0.1436
After round 3, test_loss = 2.2738, test_acc = 0.18
After round 4, test_loss = 2.2529, test_acc = 0.2203
After round 5, test_loss = 2.2309, test_acc = 0.2605
After round 6, test_loss = 2.2106, test_acc = 0.2929
After round 7, test_loss = 2.1904, test_acc = 0.3341
After round 8, test_loss = 2.1695, test_acc = 0.3635
After round 9, test_loss = 2.1494, test_acc = 0.3949
After round 10, test_loss = 2.1295, test_acc = 0.4292
After round 11, test_loss = 2.1103, test_acc = 0.4609
After round 12, test_loss = 2.0907, test_acc = 0.4892
After round 13, test_loss = 2.0719, test_acc = 0.5202
After round 14, test_loss = 2.0537, test_acc = 0.5327
After round 15, test_loss = 2.0366, test_acc = 0.5539
After round 16, test_loss = 2.0189, test_acc = 0.5716
After round 17, test_loss = 2.0014, test_acc = 0.5956
After round 18, test_loss = 1.9847, test_acc = 0.6025
After round 19, test_loss = 1.9678, test_acc = 0.6183
After round 20, test_loss = 1.9517, test_acc = 0.6348
After round 21, test_loss = 1.9355, test_acc = 0.6454
After round 22, test_loss = 1.9193, test_acc = 0.6543
After round 23, test_loss = 1.9036, test_acc = 0.6614
After round 24, test_loss = 1.8879, test_acc = 0.6696
After round 25, test_loss = 1.8723, test_acc = 0.6794
After round 26, test_loss = 1.8568, test_acc = 0.6835
After round 27, test_loss = 1.8419, test_acc = 0.6859
After round 28, test_loss = 1.827, test_acc = 0.6939
After round 29, test_loss = 1.8121, test_acc = 0.6965
After round 30, test_loss = 1.7976, test_acc = 0.6984
After round 31, test_loss = 1.7833, test_acc = 0.697
After round 32, test_loss = 1.7694, test_acc = 0.7033
After round 33, test_loss = 1.7554, test_acc = 0.7121
After round 34, test_loss = 1.7422, test_acc = 0.715
After round 35, test_loss = 1.7292, test_acc = 0.7203
After round 36, test_loss = 1.716, test_acc = 0.7277
After round 37, test_loss = 1.703, test_acc = 0.731
After round 38, test_loss = 1.6907, test_acc = 0.7343
After round 39, test_loss = 1.6784, test_acc = 0.7356
After round 40, test_loss = 1.6661, test_acc = 0.7377
After round 41, test_loss = 1.6542, test_acc = 0.7422
After round 42, test_loss = 1.6418, test_acc = 0.7449
After round 43, test_loss = 1.6302, test_acc = 0.7476
After round 44, test_loss = 1.6187, test_acc = 0.7525
After round 45, test_loss = 1.6072, test_acc = 0.755
After round 46, test_loss = 1.5964, test_acc = 0.7541
After round 47, test_loss = 1.585, test_acc = 0.7583
After round 48, test_loss = 1.574, test_acc = 0.7606
After round 49, test_loss = 1.5633, test_acc = 0.7619
After round 50, test_loss = 1.5531, test_acc = 0.7615
After round 51, test_loss = 1.5425, test_acc = 0.7633
After round 52, test_loss = 1.5323, test_acc = 0.7668
After round 53, test_loss = 1.5222, test_acc = 0.7653
After round 54, test_loss = 1.5125, test_acc = 0.7667
After round 55, test_loss = 1.5028, test_acc = 0.7676
After round 56, test_loss = 1.4932, test_acc = 0.7677
After round 57, test_loss = 1.4835, test_acc = 0.7695
After round 58, test_loss = 1.4741, test_acc = 0.7711
After round 59, test_loss = 1.4649, test_acc = 0.7741
After round 60, test_loss = 1.4556, test_acc = 0.773
After round 61, test_loss = 1.4466, test_acc = 0.7766
After round 62, test_loss = 1.4374, test_acc = 0.7775
After round 63, test_loss = 1.4292, test_acc = 0.7785
After round 64, test_loss = 1.4206, test_acc = 0.7785
After round 65, test_loss = 1.4121, test_acc = 0.7813
After round 66, test_loss = 1.4033, test_acc = 0.7838
After round 67, test_loss = 1.3952, test_acc = 0.7869
After round 68, test_loss = 1.3871, test_acc = 0.7836
After round 69, test_loss = 1.3791, test_acc = 0.7857
After round 70, test_loss = 1.3714, test_acc = 0.7863
After round 71, test_loss = 1.3637, test_acc = 0.7887
After round 72, test_loss = 1.356, test_acc = 0.7875
After round 73, test_loss = 1.3485, test_acc = 0.7896
After round 74, test_loss = 1.3412, test_acc = 0.7881
After round 75, test_loss = 1.3338, test_acc = 0.7915
After round 76, test_loss = 1.3266, test_acc = 0.7938
After round 77, test_loss = 1.3196, test_acc = 0.7942
After round 78, test_loss = 1.3126, test_acc = 0.7953
After round 79, test_loss = 1.3058, test_acc = 0.7935
After round 80, test_loss = 1.2988, test_acc = 0.7934
After round 81, test_loss = 1.2917, test_acc = 0.7959
After round 82, test_loss = 1.2848, test_acc = 0.7968
After round 83, test_loss = 1.2781, test_acc = 0.7978
After round 84, test_loss = 1.2719, test_acc = 0.7989
After round 85, test_loss = 1.2653, test_acc = 0.7986
After round 86, test_loss = 1.2587, test_acc = 0.799
After round 87, test_loss = 1.2526, test_acc = 0.7995
After round 88, test_loss = 1.2465, test_acc = 0.7995
After round 89, test_loss = 1.2402, test_acc = 0.8006
After round 90, test_loss = 1.2342, test_acc = 0.801
After round 91, test_loss = 1.2284, test_acc = 0.8019
After round 92, test_loss = 1.2225, test_acc = 0.8019
After round 93, test_loss = 1.217, test_acc = 0.804
After round 94, test_loss = 1.2112, test_acc = 0.8062
After round 95, test_loss = 1.2055, test_acc = 0.8062
After round 96, test_loss = 1.1999, test_acc = 0.8072
After round 97, test_loss = 1.1941, test_acc = 0.8068
After round 98, test_loss = 1.1886, test_acc = 0.8078
After round 99, test_loss = 1.1832, test_acc = 0.8095
After round 100, test_loss = 1.178, test_acc = 0.808
After round 101, test_loss = 1.1728, test_acc = 0.8082
