Starting: 17:51:08:983908
round_1_start: 17:51:08:983939
round_1_received_params: 17:51:10:585898
received_params: 17:51:11:208838
received_params: 17:51:12:740869
received_params: 17:51:14:781262
round_1_aggregation: 17:51:14:781278
round_1_end: 17:51:15:172137
round_2_start: 17:51:15:172186
round_2_received_params: 17:51:27:553120
received_params: 17:51:27:574593
received_params: 17:51:27:613311
received_params: 17:51:27:633278
round_2_aggregation: 17:51:27:633297
round_2_end: 17:51:28:100188
round_3_start: 17:51:28:100239
round_3_received_params: 17:51:40:447454
received_params: 17:51:40:523652
received_params: 17:51:40:620324
received_params: 17:51:40:665643
round_3_aggregation: 17:51:40:665660
round_3_end: 17:51:41:036135
round_4_start: 17:51:41:036190
round_4_received_params: 17:51:53:337986
received_params: 17:51:53:408540
received_params: 17:51:53:424197
received_params: 17:51:53:560355
round_4_aggregation: 17:51:53:560368
round_4_end: 17:51:54:040128
round_5_start: 17:51:54:040175
round_5_received_params: 17:52:06:556683
received_params: 17:52:06:614023
received_params: 17:52:06:664162
received_params: 17:52:06:693929
round_5_aggregation: 17:52:06:693956
round_5_end: 17:52:07:061886
round_6_start: 17:52:07:061934
round_6_received_params: 17:52:19:674963
received_params: 17:52:19:775005
received_params: 17:52:19:804212
received_params: 17:52:19:983684
round_6_aggregation: 17:52:19:983700
round_6_end: 17:52:20:292130
round_7_start: 17:52:20:292176
round_7_received_params: 17:52:32:673041
received_params: 17:52:32:723165
received_params: 17:52:32:868546
received_params: 17:52:32:932333
round_7_aggregation: 17:52:32:932356
round_7_end: 17:52:33:352853
round_8_start: 17:52:33:352898
round_8_received_params: 17:52:45:619587
received_params: 17:52:45:656610
received_params: 17:52:45:859908
received_params: 17:52:45:867271
round_8_aggregation: 17:52:45:867283
round_8_end: 17:52:46:264128
round_9_start: 17:52:46:264178
round_9_received_params: 17:52:58:424258
received_params: 17:52:58:581332
received_params: 17:52:58:635466
received_params: 17:52:58:725306
round_9_aggregation: 17:52:58:725336
round_9_end: 17:52:59:229263
round_10_start: 17:52:59:229311
round_10_received_params: 17:53:11:380592
received_params: 17:53:11:555155
received_params: 17:53:11:630025
received_params: 17:53:11:717387
round_10_aggregation: 17:53:11:717402
round_10_end: 17:53:11:939922
end: 17:53:11:940012
