Starting: 18:47:29:442314
round_1_start: 18:47:29:442359
round_1_model_trained: 18:47:29:559901
round_1_model_shared: 18:47:29:577003
round_1_received_params_1: 18:47:29:691490
round_1_end: 18:47:29:691761
round_2_start: 18:47:29:691783
round_2_model_trained: 18:47:29:705980
round_2_model_shared: 18:47:29:712833
round_2_received_params_1: 18:47:29:811186
round_2_end: 18:47:29:811373
round_3_start: 18:47:29:811393
round_3_model_trained: 18:47:29:824494
round_3_model_shared: 18:47:29:831352
round_3_received_params_1: 18:47:29:935366
round_3_end: 18:47:29:935551
round_4_start: 18:47:29:935570
round_4_model_trained: 18:47:29:948531
round_4_model_shared: 18:47:29:955380
round_4_received_params_1: 18:47:30:045276
round_4_end: 18:47:30:045462
round_5_start: 18:47:30:045482
round_5_model_trained: 18:47:30:058437
round_5_model_shared: 18:47:30:065397
round_5_received_params_1: 18:47:30:153206
round_5_end: 18:47:30:153391
round_6_start: 18:47:30:153410
round_6_model_trained: 18:47:30:166285
round_6_model_shared: 18:47:30:173139
round_6_received_params_1: 18:47:30:264686
round_6_end: 18:47:30:264871
round_7_start: 18:47:30:264891
round_7_model_trained: 18:47:30:277806
round_7_model_shared: 18:47:30:284695
round_7_received_params_1: 18:47:30:387848
round_7_end: 18:47:30:388034
round_8_start: 18:47:30:388052
round_8_model_trained: 18:47:30:401014
round_8_model_shared: 18:47:30:407871
round_8_received_params_1: 18:47:30:506977
round_8_end: 18:47:30:507163
round_9_start: 18:47:30:507182
round_9_model_trained: 18:47:30:520108
round_9_model_shared: 18:47:30:526963
round_9_received_params_1: 18:47:30:643842
round_9_end: 18:47:30:644028
round_10_start: 18:47:30:644046
round_10_model_trained: 18:47:30:656828
round_10_model_shared: 18:47:30:663673
round_10_received_params_1: 18:47:30:784739
round_10_end: 18:47:30:784922
round_11_start: 18:47:30:784942
round_11_model_trained: 18:47:30:797742
round_11_model_shared: 18:47:30:804585
round_11_received_params_1: 18:47:30:912505
round_11_end: 18:47:30:912688
round_12_start: 18:47:30:912708
round_12_model_trained: 18:47:30:925628
round_12_model_shared: 18:47:30:932489
round_12_received_params_1: 18:47:31:042285
round_12_end: 18:47:31:042471
round_13_start: 18:47:31:042490
round_13_model_trained: 18:47:31:055296
round_13_model_shared: 18:47:31:062300
round_13_received_params_1: 18:47:31:190728
round_13_end: 18:47:31:190913
round_14_start: 18:47:31:190932
round_14_model_trained: 18:47:31:203814
round_14_model_shared: 18:47:31:210682
round_14_received_params_1: 18:47:31:310133
round_14_end: 18:47:31:310318
round_15_start: 18:47:31:310337
round_15_model_trained: 18:47:31:323221
round_15_model_shared: 18:47:31:330091
round_15_received_params_1: 18:47:31:454800
round_15_end: 18:47:31:454985
round_16_start: 18:47:31:455004
round_16_model_trained: 18:47:31:467863
round_16_model_shared: 18:47:31:474743
round_16_received_params_1: 18:47:31:582563
round_16_end: 18:47:31:582748
round_17_start: 18:47:31:582768
round_17_model_trained: 18:47:31:595571
round_17_model_shared: 18:47:31:602410
round_17_received_params_1: 18:47:31:710584
round_17_end: 18:47:31:710769
round_18_start: 18:47:31:710789
round_18_model_trained: 18:47:31:723640
round_18_model_shared: 18:47:31:730496
round_18_received_params_1: 18:47:31:856998
round_18_end: 18:47:31:857192
round_19_start: 18:47:31:857212
round_19_model_trained: 18:47:31:869972
round_19_model_shared: 18:47:31:876805
round_19_received_params_1: 18:47:31:988531
round_19_end: 18:47:31:988714
round_20_start: 18:47:31:988733
round_20_model_trained: 18:47:32:001523
round_20_model_shared: 18:47:32:008372
round_20_received_params_1: 18:47:32:122239
round_20_end: 18:47:32:122425
round_21_start: 18:47:32:122445
round_21_model_trained: 18:47:32:135269
round_21_model_shared: 18:47:32:142122
round_21_received_params_1: 18:47:32:252410
round_21_end: 18:47:32:252595
round_22_start: 18:47:32:252614
round_22_model_trained: 18:47:32:265440
round_22_model_shared: 18:47:32:272327
round_22_received_params_1: 18:47:32:384001
round_22_end: 18:47:32:384187
round_23_start: 18:47:32:384207
round_23_model_trained: 18:47:32:397017
round_23_model_shared: 18:47:32:403885
round_23_received_params_1: 18:47:32:512291
round_23_end: 18:47:32:512477
round_24_start: 18:47:32:512496
round_24_model_trained: 18:47:32:525463
round_24_model_shared: 18:47:32:533228
round_24_received_params_1: 18:47:32:648436
round_24_end: 18:47:32:648623
round_25_start: 18:47:32:648643
round_25_model_trained: 18:47:32:661484
round_25_model_shared: 18:47:32:668343
round_25_received_params_1: 18:47:32:790879
round_25_end: 18:47:32:791065
round_26_start: 18:47:32:791085
round_26_model_trained: 18:47:32:803912
round_26_model_shared: 18:47:32:810778
round_26_received_params_1: 18:47:32:921872
round_26_end: 18:47:32:922066
round_27_start: 18:47:32:922087
round_27_model_trained: 18:47:32:934954
round_27_model_shared: 18:47:32:941814
round_27_received_params_1: 18:47:33:051436
round_27_end: 18:47:33:051623
round_28_start: 18:47:33:051642
round_28_model_trained: 18:47:33:064597
round_28_model_shared: 18:47:33:071470
round_28_received_params_1: 18:47:33:184063
round_28_end: 18:47:33:184247
round_29_start: 18:47:33:184267
round_29_model_trained: 18:47:33:197033
round_29_model_shared: 18:47:33:203901
round_29_received_params_1: 18:47:33:326576
round_29_end: 18:47:33:326762
round_30_start: 18:47:33:326781
round_30_model_trained: 18:47:33:339588
round_30_model_shared: 18:47:33:346429
round_30_received_params_1: 18:47:33:455417
round_30_end: 18:47:33:455603
round_31_start: 18:47:33:455623
round_31_model_trained: 18:47:33:468404
round_31_model_shared: 18:47:33:475262
round_31_received_params_1: 18:47:33:597302
round_31_end: 18:47:33:597488
round_32_start: 18:47:33:597507
round_32_model_trained: 18:47:33:610326
round_32_model_shared: 18:47:33:617206
round_32_received_params_1: 18:47:33:716330
round_32_end: 18:47:33:716517
round_33_start: 18:47:33:716536
round_33_model_trained: 18:47:33:729421
round_33_model_shared: 18:47:33:736262
round_33_received_params_1: 18:47:33:865264
round_33_end: 18:47:33:865449
round_34_start: 18:47:33:865468
round_34_model_trained: 18:47:33:878348
round_34_model_shared: 18:47:33:885213
round_34_received_params_1: 18:47:34:000591
round_34_end: 18:47:34:000777
round_35_start: 18:47:34:000798
round_35_model_trained: 18:47:34:013626
round_35_model_shared: 18:47:34:020550
round_35_received_params_1: 18:47:34:126445
round_35_end: 18:47:34:126631
round_36_start: 18:47:34:126650
round_36_model_trained: 18:47:34:139424
round_36_model_shared: 18:47:34:146263
round_36_received_params_1: 18:47:34:262239
round_36_end: 18:47:34:262426
round_37_start: 18:47:34:262445
round_37_model_trained: 18:47:34:275284
round_37_model_shared: 18:47:34:282136
round_37_received_params_1: 18:47:34:386141
round_37_end: 18:47:34:386324
round_38_start: 18:47:34:386344
round_38_model_trained: 18:47:34:399073
round_38_model_shared: 18:47:34:405930
round_38_received_params_1: 18:47:34:536461
round_38_end: 18:47:34:536643
round_39_start: 18:47:34:536662
round_39_model_trained: 18:47:34:549549
round_39_model_shared: 18:47:34:556403
round_39_received_params_1: 18:47:34:670331
round_39_end: 18:47:34:670514
round_40_start: 18:47:34:670533
round_40_model_trained: 18:47:34:683476
round_40_model_shared: 18:47:34:690344
round_40_received_params_1: 18:47:34:794163
round_40_end: 18:47:34:794347
round_41_start: 18:47:34:794367
round_41_model_trained: 18:47:34:807198
round_41_model_shared: 18:47:34:814047
round_41_received_params_1: 18:47:34:930279
round_41_end: 18:47:34:930463
round_42_start: 18:47:34:930482
round_42_model_trained: 18:47:34:943253
round_42_model_shared: 18:47:34:950112
round_42_received_params_1: 18:47:35:076939
round_42_end: 18:47:35:077133
round_43_start: 18:47:35:077154
round_43_model_trained: 18:47:35:090038
round_43_model_shared: 18:47:35:096881
round_43_received_params_1: 18:47:35:204651
round_43_end: 18:47:35:204835
round_44_start: 18:47:35:204855
round_44_model_trained: 18:47:35:217716
round_44_model_shared: 18:47:35:224574
round_44_received_params_1: 18:47:35:351441
round_44_end: 18:47:35:351625
round_45_start: 18:47:35:351644
round_45_model_trained: 18:47:35:364423
round_45_model_shared: 18:47:35:371283
round_45_received_params_1: 18:47:35:486413
round_45_end: 18:47:35:486596
round_46_start: 18:47:35:486616
round_46_model_trained: 18:47:35:499415
round_46_model_shared: 18:47:35:506291
round_46_received_params_1: 18:47:35:613668
round_46_end: 18:47:35:613869
