Starting: 17:51:37:930460
round_1_start: 17:51:37:930505
round_1_received_params: 17:51:39:245278
received_params: 17:51:39:274492
received_params: 17:51:39:284218
round_1_aggregation: 17:51:39:284239
round_1_end: 17:51:39:764570
round_2_start: 17:51:39:764613
round_2_received_params: 17:51:40:638943
received_params: 17:51:40:649825
round_2_aggregation: 17:51:40:649841
round_2_end: 17:51:40:654601
round_3_start: 17:51:40:654627
round_3_received_params: 17:51:41:438779
received_params: 17:51:41:449607
received_params: 17:51:41:509997
round_3_aggregation: 17:51:41:510016
round_3_end: 17:51:41:844729
round_4_start: 17:51:41:844770
round_4_received_params: 17:51:42:649595
received_params: 17:51:42:690947
round_4_aggregation: 17:51:42:690967
round_4_end: 17:51:43:012450
round_5_start: 17:51:43:012498
round_5_received_params: 17:51:43:724119
round_5_aggregation: 17:51:43:724138
round_5_end: 17:51:43:753342
round_6_start: 17:51:43:753374
round_6_received_params: 17:51:44:681562
received_params: 17:51:44:732816
received_params: 17:51:44:765454
round_6_aggregation: 17:51:44:765475
round_6_end: 17:51:45:036421
round_7_start: 17:51:45:036461
round_7_received_params: 17:51:45:811744
received_params: 17:51:45:841563
received_params: 17:51:45:862812
round_7_aggregation: 17:51:45:862831
round_7_end: 17:51:46:084365
round_8_start: 17:51:46:084404
round_8_received_params: 17:51:46:952918
received_params: 17:51:46:970721
received_params: 17:51:47:006490
round_8_aggregation: 17:51:47:006524
round_8_end: 17:51:47:450265
round_9_start: 17:51:47:450309
round_9_received_params: 17:51:48:217060
received_params: 17:51:48:262363
received_params: 17:51:48:270956
round_9_aggregation: 17:51:48:270984
round_9_end: 17:51:48:748350
round_10_start: 17:51:48:748390
round_10_received_params: 17:51:49:528741
received_params: 17:51:49:539851
received_params: 17:51:49:571232
round_10_aggregation: 17:51:49:571251
round_10_end: 17:51:49:613798
end: 17:51:49:613829
