Starting: 11:10:06:076051
round_1_start: 11:10:06:076091
round_1_received_params: 11:10:06:741706
round_1_aggregation: 11:10:06:741724
round_1_end: 11:10:07:025518
round_2_start: 11:10:07:025547
round_2_received_params: 11:10:07:564362
round_2_aggregation: 11:10:07:564378
round_2_end: 11:10:07:567344
round_3_start: 11:10:07:567372
round_3_received_params: 11:10:08:106818
round_3_aggregation: 11:10:08:106836
round_3_end: 11:10:08:109474
round_4_start: 11:10:08:109501
round_4_received_params: 11:10:08:647266
round_4_aggregation: 11:10:08:647284
round_4_end: 11:10:08:649914
round_5_start: 11:10:08:649941
round_5_received_params: 11:10:09:187592
round_5_aggregation: 11:10:09:187610
round_5_end: 11:10:09:190336
round_6_start: 11:10:09:190363
round_6_received_params: 11:10:09:721770
received_params: 11:10:09:727878
round_6_aggregation: 11:10:09:727895
round_6_end: 11:10:09:730578
round_7_start: 11:10:09:730606
round_7_received_params: 11:10:10:262470
received_params: 11:10:10:268559
round_7_aggregation: 11:10:10:268576
round_7_end: 11:10:10:271373
round_8_start: 11:10:10:271401
round_8_received_params: 11:10:10:803356
received_params: 11:10:10:818528
round_8_aggregation: 11:10:10:818546
round_8_end: 11:10:10:821220
round_9_start: 11:10:10:821248
round_9_received_params: 11:10:11:347422
received_params: 11:10:11:353527
received_params: 11:10:11:382131
round_9_aggregation: 11:10:11:382149
round_9_end: 11:10:11:384910
round_10_start: 11:10:11:384938
round_10_received_params: 11:10:11:911055
received_params: 11:10:11:917143
received_params: 11:10:11:947435
round_10_aggregation: 11:10:11:947453
round_10_end: 11:10:11:950199
round_11_start: 11:10:11:950227
round_11_received_params: 11:10:12:479114
received_params: 11:10:12:485216
received_params: 11:10:12:512097
round_11_aggregation: 11:10:12:512116
round_11_end: 11:10:12:514866
round_12_start: 11:10:12:514893
round_12_received_params: 11:10:13:040307
received_params: 11:10:13:046402
received_params: 11:10:13:076543
round_12_aggregation: 11:10:13:076560
round_12_end: 11:10:13:079358
round_13_start: 11:10:13:079386
round_13_received_params: 11:10:13:605621
received_params: 11:10:13:611745
received_params: 11:10:13:645625
round_13_aggregation: 11:10:13:645642
round_13_end: 11:10:13:648376
round_14_start: 11:10:13:648404
round_14_received_params: 11:10:14:173987
received_params: 11:10:14:180091
received_params: 11:10:14:213893
round_14_aggregation: 11:10:14:213910
round_14_end: 11:10:14:216634
round_15_start: 11:10:14:216662
round_15_received_params: 11:10:14:742952
received_params: 11:10:14:749067
received_params: 11:10:14:779895
round_15_aggregation: 11:10:14:779912
round_15_end: 11:10:14:782685
round_16_start: 11:10:14:782713
round_16_received_params: 11:10:15:310846
received_params: 11:10:15:316965
received_params: 11:10:15:346334
round_16_aggregation: 11:10:15:346352
round_16_end: 11:10:15:349028
round_17_start: 11:10:15:349057
round_17_received_params: 11:10:15:876892
