Starting: 11:12:14:349964
round_1_start: 11:12:14:350006
round_1_received_params: 11:12:15:010778
received_params: 11:12:15:016906
round_1_aggregation: 11:12:15:016923
round_1_end: 11:12:15:020309
round_2_start: 11:12:15:020336
round_2_received_params: 11:12:15:545274
received_params: 11:12:15:557518
round_2_aggregation: 11:12:15:557534
round_2_end: 11:12:15:560118
round_3_start: 11:12:15:560144
round_3_received_params: 11:12:16:088808
received_params: 11:12:16:112843
round_3_aggregation: 11:12:16:112861
round_3_end: 11:12:16:115218
round_4_start: 11:12:16:115246
round_4_received_params: 11:12:16:644532
received_params: 11:12:16:681750
round_4_aggregation: 11:12:16:681767
round_4_end: 11:12:16:684113
round_5_start: 11:12:16:684140
round_5_received_params: 11:12:17:214833
received_params: 11:12:17:248833
round_5_aggregation: 11:12:17:248850
round_5_end: 11:12:17:251256
round_6_start: 11:12:17:251282
round_6_received_params: 11:12:17:780968
received_params: 11:12:17:815912
round_6_aggregation: 11:12:17:815930
round_6_end: 11:12:17:818648
round_7_start: 11:12:17:818677
round_7_received_params: 11:12:18:350874
received_params: 11:12:18:386740
round_7_aggregation: 11:12:18:386758
round_7_end: 11:12:18:389413
round_8_start: 11:12:18:389441
round_8_received_params: 11:12:18:919677
received_params: 11:12:18:956612
round_8_aggregation: 11:12:18:956635
round_8_end: 11:12:18:959212
round_9_start: 11:12:18:959240
round_9_received_params: 11:12:19:488215
received_params: 11:12:19:524985
round_9_aggregation: 11:12:19:525010
round_9_end: 11:12:19:527945
round_10_start: 11:12:19:527980
round_10_received_params: 11:12:20:055658
received_params: 11:12:20:061821
received_params: 11:12:20:093267
round_10_aggregation: 11:12:20:093285
round_10_end: 11:12:20:096015
round_11_start: 11:12:20:096043
round_11_received_params: 11:12:20:626070
received_params: 11:12:20:665918
round_11_aggregation: 11:12:20:665936
round_11_end: 11:12:20:668406
round_12_start: 11:12:20:668433
round_12_received_params: 11:12:21:198791
received_params: 11:12:21:234220
round_12_aggregation: 11:12:21:234237
round_12_end: 11:12:21:236744
round_13_start: 11:12:21:236772
round_13_received_params: 11:12:21:767801
received_params: 11:12:21:809402
round_13_aggregation: 11:12:21:809420
round_13_end: 11:12:21:811864
round_14_start: 11:12:21:811892
round_14_received_params: 11:12:22:342432
received_params: 11:12:22:377241
round_14_aggregation: 11:12:22:377259
round_14_end: 11:12:22:379667
round_15_start: 11:12:22:379694
round_15_received_params: 11:12:22:910756
received_params: 11:12:22:946806
round_15_aggregation: 11:12:22:946823
round_15_end: 11:12:22:949423
round_16_start: 11:12:22:949451
round_16_received_params: 11:12:23:481191
received_params: 11:12:23:520464
round_16_aggregation: 11:12:23:520481
round_16_end: 11:12:23:522991
round_17_start: 11:12:23:523020
round_17_received_params: 11:12:24:052531
received_params: 11:12:24:094109
round_17_aggregation: 11:12:24:094127
round_17_end: 11:12:24:096522
round_18_start: 11:12:24:096567
round_18_received_params: 11:12:24:628389
received_params: 11:12:24:667464
round_18_aggregation: 11:12:24:667484
round_18_end: 11:12:24:670095
round_19_start: 11:12:24:670125
round_19_received_params: 11:12:25:201942
received_params: 11:12:25:235978
round_19_aggregation: 11:12:25:235996
round_19_end: 11:12:25:238478
round_20_start: 11:12:25:238507
round_20_received_params: 11:12:25:770595
received_params: 11:12:25:809962
round_20_aggregation: 11:12:25:809981
round_20_end: 11:12:25:812367
round_21_start: 11:12:25:812395
round_21_received_params: 11:12:26:344351
received_params: 11:12:26:384206
round_21_aggregation: 11:12:26:384224
round_21_end: 11:12:26:387119
round_22_start: 11:12:26:387150
round_22_received_params: 11:12:26:920201
received_params: 11:12:26:958468
round_22_aggregation: 11:12:26:958486
round_22_end: 11:12:26:961505
round_23_start: 11:12:26:961538
round_23_received_params: 11:12:27:493646
received_params: 11:12:27:531466
round_23_aggregation: 11:12:27:531484
round_23_end: 11:12:27:534388
round_24_start: 11:12:27:534420
round_24_received_params: 11:12:28:066512
received_params: 11:12:28:104487
round_24_aggregation: 11:12:28:104505
round_24_end: 11:12:28:107446
round_25_start: 11:12:28:107478
round_25_received_params: 11:12:28:640120
received_params: 11:12:28:676942
round_25_aggregation: 11:12:28:676960
round_25_end: 11:12:28:679792
round_26_start: 11:12:28:679823
round_26_received_params: 11:12:29:212003
received_params: 11:12:29:248912
round_26_aggregation: 11:12:29:248930
round_26_end: 11:12:29:251839
round_27_start: 11:12:29:251872
round_27_received_params: 11:12:29:779000
received_params: 11:12:29:785140
received_params: 11:12:29:819839
round_27_aggregation: 11:12:29:819858
round_27_end: 11:12:29:822853
round_28_start: 11:12:29:822887
round_28_received_params: 11:12:30:357654
received_params: 11:12:30:390012
round_28_aggregation: 11:12:30:390031
round_28_end: 11:12:30:392951
round_29_start: 11:12:30:392985
round_29_received_params: 11:12:30:926552
received_params: 11:12:30:955006
round_29_aggregation: 11:12:30:955025
round_29_end: 11:12:30:957972
round_30_start: 11:12:30:958005
round_30_received_params: 11:12:31:490362
received_params: 11:12:31:524352
round_30_aggregation: 11:12:31:524370
round_30_end: 11:12:31:527227
round_31_start: 11:12:31:527268
round_31_received_params: 11:12:32:058987
received_params: 11:12:32:091408
round_31_aggregation: 11:12:32:091426
round_31_end: 11:12:32:094360
round_32_start: 11:12:32:094392
round_32_received_params: 11:12:32:626238
received_params: 11:12:32:658310
round_32_aggregation: 11:12:32:658327
round_32_end: 11:12:32:661234
round_33_start: 11:12:32:661266
round_33_received_params: 11:12:33:194642
received_params: 11:12:33:225838
round_33_aggregation: 11:12:33:225856
round_33_end: 11:12:33:228819
round_34_start: 11:12:33:228850
round_34_received_params: 11:12:33:760901
received_params: 11:12:33:801998
round_34_aggregation: 11:12:33:802015
round_34_end: 11:12:33:805089
round_35_start: 11:12:33:805122
round_35_received_params: 11:12:34:336961
received_params: 11:12:34:373515
round_35_aggregation: 11:12:34:373533
round_35_end: 11:12:34:376420
round_36_start: 11:12:34:376453
round_36_received_params: 11:12:34:904557
received_params: 11:12:34:910705
received_params: 11:12:34:943443
round_36_aggregation: 11:12:34:943461
round_36_end: 11:12:34:946453
round_37_start: 11:12:34:946486
round_37_received_params: 11:12:35:473793
received_params: 11:12:35:479904
received_params: 11:12:35:520211
round_37_aggregation: 11:12:35:520230
round_37_end: 11:12:35:523179
round_38_start: 11:12:35:523210
round_38_received_params: 11:12:36:056023
received_params: 11:12:36:088929
round_38_aggregation: 11:12:36:088947
round_38_end: 11:12:36:091730
round_39_start: 11:12:36:091761
round_39_received_params: 11:12:36:624527
received_params: 11:12:36:663253
round_39_aggregation: 11:12:36:663272
round_39_end: 11:12:36:666173
round_40_start: 11:12:36:666205
round_40_received_params: 11:12:37:198337
received_params: 11:12:37:235713
round_40_aggregation: 11:12:37:235732
round_40_end: 11:12:37:238693
round_41_start: 11:12:37:238725
round_41_received_params: 11:12:37:771038
received_params: 11:12:37:806243
round_41_aggregation: 11:12:37:806261
round_41_end: 11:12:37:809148
round_42_start: 11:12:37:809180
round_42_received_params: 11:12:38:343435
received_params: 11:12:38:377614
round_42_aggregation: 11:12:38:377633
round_42_end: 11:12:38:380645
round_43_start: 11:12:38:380679
round_43_received_params: 11:12:38:909823
received_params: 11:12:38:915982
received_params: 11:12:38:947900
round_43_aggregation: 11:12:38:947918
round_43_end: 11:12:38:950874
round_44_start: 11:12:38:950906
round_44_received_params: 11:12:39:480054
received_params: 11:12:39:486233
received_params: 11:12:39:520009
round_44_aggregation: 11:12:39:520033
round_44_end: 11:12:39:523283
round_45_start: 11:12:39:523324
round_45_received_params: 11:12:40:061062
received_params: 11:12:40:088278
round_45_aggregation: 11:12:40:088297
round_45_end: 11:12:40:091258
round_46_start: 11:12:40:091291
round_46_received_params: 11:12:40:625950
received_params: 11:12:40:657515
round_46_aggregation: 11:12:40:657534
round_46_end: 11:12:40:660482
round_47_start: 11:12:40:660514
round_47_received_params: 11:12:41:197182
received_params: 11:12:41:226730
round_47_aggregation: 11:12:41:226749
round_47_end: 11:12:41:229701
round_48_start: 11:12:41:229735
round_48_received_params: 11:12:41:765055
received_params: 11:12:41:796779
round_48_aggregation: 11:12:41:796797
round_48_end: 11:12:41:799721
round_49_start: 11:12:41:799753
round_49_received_params: 11:12:42:328500
received_params: 11:12:42:334637
received_params: 11:12:42:364158
round_49_aggregation: 11:12:42:364176
round_49_end: 11:12:42:366968
round_50_start: 11:12:42:367000
round_50_received_params: 11:12:42:895921
received_params: 11:12:42:902040
received_params: 11:12:42:936848
round_50_aggregation: 11:12:42:936866
round_50_end: 11:12:42:939743
round_51_start: 11:12:42:939776
round_51_received_params: 11:12:43:474319
received_params: 11:12:43:501965
round_51_aggregation: 11:12:43:501982
round_51_end: 11:12:43:504911
round_52_start: 11:12:43:504943
round_52_received_params: 11:12:44:039809
received_params: 11:12:44:075055
round_52_aggregation: 11:12:44:075072
round_52_end: 11:12:44:077918
round_53_start: 11:12:44:077950
round_53_received_params: 11:12:44:607679
received_params: 11:12:44:613847
received_params: 11:12:44:641610
round_53_aggregation: 11:12:44:641630
round_53_end: 11:12:44:644699
round_54_start: 11:12:44:644735
round_54_received_params: 11:12:45:174316
received_params: 11:12:45:180454
received_params: 11:12:45:208263
round_54_aggregation: 11:12:45:208281
round_54_end: 11:12:45:210754
round_55_start: 11:12:45:210783
round_55_received_params: 11:12:45:742364
received_params: 11:12:45:771508
round_55_aggregation: 11:12:45:771526
round_55_end: 11:12:45:773949
round_56_start: 11:12:45:773976
round_56_received_params: 11:12:46:301308
received_params: 11:12:46:307462
received_params: 11:12:46:334698
round_56_aggregation: 11:12:46:334718
round_56_end: 11:12:46:337437
round_57_start: 11:12:46:337470
round_57_received_params: 11:12:46:869730
received_params: 11:12:46:900674
round_57_aggregation: 11:12:46:900695
round_57_end: 11:12:46:903352
round_58_start: 11:12:46:903385
round_58_received_params: 11:12:47:437334
received_params: 11:12:47:465241
round_58_aggregation: 11:12:47:465262
round_58_end: 11:12:47:467846
round_59_start: 11:12:47:467879
round_59_received_params: 11:12:47:995885
received_params: 11:12:48:002039
received_params: 11:12:48:031104
round_59_aggregation: 11:12:48:031124
round_59_end: 11:12:48:033750
round_60_start: 11:12:48:033780
round_60_received_params: 11:12:48:561366
received_params: 11:12:48:567494
received_params: 11:12:48:597095
round_60_aggregation: 11:12:48:597114
round_60_end: 11:12:48:599549
round_61_start: 11:12:48:599578
round_61_received_params: 11:12:49:130684
received_params: 11:12:49:160824
round_61_aggregation: 11:12:49:160842
round_61_end: 11:12:49:163226
round_62_start: 11:12:49:163254
round_62_received_params: 11:12:49:695346
received_params: 11:12:49:726521
round_62_aggregation: 11:12:49:726540
round_62_end: 11:12:49:729031
round_63_start: 11:12:49:729060
round_63_received_params: 11:12:50:260958
received_params: 11:12:50:292404
round_63_aggregation: 11:12:50:292430
round_63_end: 11:12:50:295156
round_64_start: 11:12:50:295193
round_64_received_params: 11:12:50:833894
received_params: 11:12:50:854985
round_64_aggregation: 11:12:50:855004
round_64_end: 11:12:50:857932
round_65_start: 11:12:50:857967
round_65_received_params: 11:12:51:385453
received_params: 11:12:51:391596
received_params: 11:12:51:421250
round_65_aggregation: 11:12:51:421268
round_65_end: 11:12:51:424107
round_66_start: 11:12:51:424140
round_66_received_params: 11:12:51:955892
received_params: 11:12:51:988293
round_66_aggregation: 11:12:51:988311
round_66_end: 11:12:51:991161
round_67_start: 11:12:51:991194
round_67_received_params: 11:12:52:522458
received_params: 11:12:52:552559
round_67_aggregation: 11:12:52:552578
round_67_end: 11:12:52:555516
round_68_start: 11:12:52:555549
round_68_received_params: 11:12:53:081753
received_params: 11:12:53:087875
received_params: 11:12:53:118457
round_68_aggregation: 11:12:53:118475
round_68_end: 11:12:53:121437
round_69_start: 11:12:53:121470
round_69_received_params: 11:12:53:652297
received_params: 11:12:53:685655
round_69_aggregation: 11:12:53:685673
round_69_end: 11:12:53:688521
round_70_start: 11:12:53:688571
round_70_received_params: 11:12:54:219913
received_params: 11:12:54:252172
round_70_aggregation: 11:12:54:252189
