After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 1.6752, test_acc = 0.7327
After round 2, test_loss = 1.3115, test_acc = 0.7872
After round 3, test_loss = 1.0976, test_acc = 0.8139
After round 4, test_loss = 0.9616, test_acc = 0.8255
After round 5, test_loss = 0.8682, test_acc = 0.836
After round 6, test_loss = 0.7994, test_acc = 0.8445
After round 7, test_loss = 0.7469, test_acc = 0.851
After round 8, test_loss = 0.706, test_acc = 0.8546
After round 9, test_loss = 0.6727, test_acc = 0.8581
After round 10, test_loss = 0.6449, test_acc = 0.8631
After round 11, test_loss = 0.6212, test_acc = 0.8643
After round 12, test_loss = 0.6009, test_acc = 0.8663
After round 13, test_loss = 0.583, test_acc = 0.8686
After round 14, test_loss = 0.5674, test_acc = 0.8695
After round 15, test_loss = 0.5536, test_acc = 0.8711
After round 16, test_loss = 0.5413, test_acc = 0.8724
After round 17, test_loss = 0.5304, test_acc = 0.8735
After round 18, test_loss = 0.5202, test_acc = 0.8748
After round 19, test_loss = 0.511, test_acc = 0.8763
After round 20, test_loss = 0.5026, test_acc = 0.8785
After round 21, test_loss = 0.495, test_acc = 0.8793
After round 22, test_loss = 0.4879, test_acc = 0.8799
After round 23, test_loss = 0.4814, test_acc = 0.8806
After round 24, test_loss = 0.4754, test_acc = 0.8818
After round 25, test_loss = 0.4697, test_acc = 0.883
After round 26, test_loss = 0.4644, test_acc = 0.8842
After round 27, test_loss = 0.4594, test_acc = 0.8851
After round 28, test_loss = 0.4547, test_acc = 0.8866
After round 29, test_loss = 0.4502, test_acc = 0.8863
After round 30, test_loss = 0.4461, test_acc = 0.8868
After round 31, test_loss = 0.4421, test_acc = 0.8879
After round 32, test_loss = 0.4385, test_acc = 0.8872
After round 33, test_loss = 0.4349, test_acc = 0.8877
After round 34, test_loss = 0.4316, test_acc = 0.8885
After round 35, test_loss = 0.4284, test_acc = 0.8888
After round 36, test_loss = 0.4253, test_acc = 0.8901
After round 37, test_loss = 0.4224, test_acc = 0.8905
After round 38, test_loss = 0.4197, test_acc = 0.8913
After round 39, test_loss = 0.4173, test_acc = 0.8901
After round 40, test_loss = 0.4147, test_acc = 0.892
After round 41, test_loss = 0.4123, test_acc = 0.8927
