After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 2.17, test_acc = 0.1572
After round 2, test_loss = 2.0454, test_acc = 0.2762
After round 3, test_loss = 1.8023, test_acc = 0.4823
After round 4, test_loss = 1.663, test_acc = 0.478
After round 5, test_loss = 1.6374, test_acc = 0.5208
After round 6, test_loss = 1.3671, test_acc = 0.6012
After round 7, test_loss = 1.2862, test_acc = 0.6617
After round 8, test_loss = 1.2846, test_acc = 0.6674
After round 9, test_loss = 1.3371, test_acc = 0.6333
After round 10, test_loss = 1.3327, test_acc = 0.6147
After round 11, test_loss = 1.4397, test_acc = 0.576
After round 12, test_loss = 1.3944, test_acc = 0.6003
After round 13, test_loss = 1.4159, test_acc = 0.6309
After round 14, test_loss = 1.453, test_acc = 0.6405
After round 15, test_loss = 1.4615, test_acc = 0.6406
After round 16, test_loss = 1.3561, test_acc = 0.5942
After round 17, test_loss = 1.1233, test_acc = 0.5967
After round 18, test_loss = 1.2393, test_acc = 0.5943
After round 19, test_loss = 1.2919, test_acc = 0.602
After round 20, test_loss = 1.2576, test_acc = 0.5999
After round 21, test_loss = 1.2677, test_acc = 0.6045
After round 22, test_loss = 1.25, test_acc = 0.6462
After round 23, test_loss = 1.26, test_acc = 0.6616
After round 24, test_loss = 0.9577, test_acc = 0.705
After round 25, test_loss = 0.9235, test_acc = 0.7366
After round 26, test_loss = 1.0094, test_acc = 0.6884
After round 27, test_loss = 1.0937, test_acc = 0.6791
After round 28, test_loss = 1.0347, test_acc = 0.688
After round 29, test_loss = 1.0609, test_acc = 0.6814
After round 30, test_loss = 0.9975, test_acc = 0.7081
After round 31, test_loss = 1.0187, test_acc = 0.7145
After round 32, test_loss = 1.0568, test_acc = 0.7091
After round 33, test_loss = 0.991, test_acc = 0.7179
After round 34, test_loss = 0.9292, test_acc = 0.7472
After round 35, test_loss = 0.7827, test_acc = 0.7316
After round 36, test_loss = 0.802, test_acc = 0.7257
After round 37, test_loss = 0.7689, test_acc = 0.7489
After round 38, test_loss = 0.8121, test_acc = 0.7314
After round 39, test_loss = 0.828, test_acc = 0.7364
After round 40, test_loss = 0.8722, test_acc = 0.7205
After round 41, test_loss = 0.953, test_acc = 0.6563
After round 42, test_loss = 0.9641, test_acc = 0.6593
After round 43, test_loss = 0.9714, test_acc = 0.661
After round 44, test_loss = 0.7556, test_acc = 0.7761
After round 45, test_loss = 0.7999, test_acc = 0.7458
After round 46, test_loss = 0.7451, test_acc = 0.7786
After round 47, test_loss = 0.7728, test_acc = 0.7679
After round 48, test_loss = 0.7385, test_acc = 0.7995
After round 49, test_loss = 0.7498, test_acc = 0.8
After round 50, test_loss = 0.6845, test_acc = 0.7986
After round 51, test_loss = 0.6713, test_acc = 0.7959
After round 52, test_loss = 0.5561, test_acc = 0.8397
After round 53, test_loss = 0.6143, test_acc = 0.7993
After round 54, test_loss = 0.7114, test_acc = 0.7921
After round 55, test_loss = 0.7598, test_acc = 0.7705
After round 56, test_loss = 0.8169, test_acc = 0.75
After round 57, test_loss = 0.636, test_acc = 0.7729
After round 58, test_loss = 0.6364, test_acc = 0.7868
After round 59, test_loss = 0.5953, test_acc = 0.7955
After round 60, test_loss = 0.5632, test_acc = 0.816
After round 61, test_loss = 0.5426, test_acc = 0.8359
After round 62, test_loss = 0.5168, test_acc = 0.8596
After round 63, test_loss = 0.508, test_acc = 0.8669
After round 64, test_loss = 0.4928, test_acc = 0.8726
After round 65, test_loss = 0.4939, test_acc = 0.8709
After round 66, test_loss = 0.508, test_acc = 0.8605
After round 67, test_loss = 0.5207, test_acc = 0.8549
After round 68, test_loss = 0.5356, test_acc = 0.8258
After round 69, test_loss = 0.5126, test_acc = 0.8453
After round 70, test_loss = 0.5513, test_acc = 0.8159
After round 71, test_loss = 0.6003, test_acc = 0.7942
After round 72, test_loss = 0.6647, test_acc = 0.7725
After round 73, test_loss = 0.686, test_acc = 0.7731
After round 74, test_loss = 0.6316, test_acc = 0.785
After round 75, test_loss = 0.5634, test_acc = 0.8079
After round 76, test_loss = 0.5344, test_acc = 0.8259
After round 77, test_loss = 0.5023, test_acc = 0.844
After round 78, test_loss = 0.4914, test_acc = 0.8533
After round 79, test_loss = 0.4813, test_acc = 0.8623
After round 80, test_loss = 0.5028, test_acc = 0.8492
After round 81, test_loss = 0.5031, test_acc = 0.8368
After round 82, test_loss = 0.5586, test_acc = 0.8092
After round 83, test_loss = 0.5506, test_acc = 0.81
After round 84, test_loss = 0.4654, test_acc = 0.8634
After round 85, test_loss = 0.4795, test_acc = 0.8515
After round 86, test_loss = 0.4766, test_acc = 0.8566
After round 87, test_loss = 0.4559, test_acc = 0.8681
After round 88, test_loss = 0.4682, test_acc = 0.8599
After round 89, test_loss = 0.4857, test_acc = 0.8474
After round 90, test_loss = 0.4617, test_acc = 0.87
After round 91, test_loss = 0.4749, test_acc = 0.8702
After round 92, test_loss = 0.5643, test_acc = 0.8052
After round 93, test_loss = 0.4628, test_acc = 0.8732
After round 94, test_loss = 0.4718, test_acc = 0.8706
After round 95, test_loss = 0.4833, test_acc = 0.8618
After round 96, test_loss = 0.4486, test_acc = 0.8699
After round 97, test_loss = 0.4905, test_acc = 0.8438
After round 98, test_loss = 0.486, test_acc = 0.8464
After round 99, test_loss = 0.5403, test_acc = 0.8163
After round 100, test_loss = 0.5094, test_acc = 0.8313
After round 101, test_loss = 0.4409, test_acc = 0.8804
After round 102, test_loss = 0.5026, test_acc = 0.8341
After round 103, test_loss = 0.4292, test_acc = 0.8846
