After round 0, test_loss = 2.3406, test_acc = 0.0917
After round 1, test_loss = 1.676, test_acc = 0.7355
After round 2, test_loss = 1.3085, test_acc = 0.7952
After round 3, test_loss = 1.0945, test_acc = 0.8183
After round 4, test_loss = 0.9583, test_acc = 0.8288
After round 5, test_loss = 0.8651, test_acc = 0.8361
After round 6, test_loss = 0.7966, test_acc = 0.8445
After round 7, test_loss = 0.7448, test_acc = 0.8502
After round 8, test_loss = 0.7036, test_acc = 0.8545
After round 9, test_loss = 0.6706, test_acc = 0.8575
After round 10, test_loss = 0.6428, test_acc = 0.8607
After round 11, test_loss = 0.6198, test_acc = 0.8624
After round 12, test_loss = 0.5999, test_acc = 0.8642
After round 13, test_loss = 0.5825, test_acc = 0.8676
After round 14, test_loss = 0.5673, test_acc = 0.8688
After round 15, test_loss = 0.5538, test_acc = 0.8715
After round 16, test_loss = 0.5417, test_acc = 0.8722
After round 17, test_loss = 0.5307, test_acc = 0.8733
After round 18, test_loss = 0.5209, test_acc = 0.8739
After round 19, test_loss = 0.5118, test_acc = 0.877
After round 20, test_loss = 0.5036, test_acc = 0.8789
After round 21, test_loss = 0.4959, test_acc = 0.8792
After round 22, test_loss = 0.4887, test_acc = 0.8801
After round 23, test_loss = 0.4822, test_acc = 0.88
After round 24, test_loss = 0.4761, test_acc = 0.8819
After round 25, test_loss = 0.4705, test_acc = 0.8821
After round 26, test_loss = 0.4652, test_acc = 0.884
After round 27, test_loss = 0.4604, test_acc = 0.8844
After round 28, test_loss = 0.4557, test_acc = 0.8856
After round 29, test_loss = 0.4513, test_acc = 0.886
After round 30, test_loss = 0.4471, test_acc = 0.8867
After round 31, test_loss = 0.4432, test_acc = 0.8874
After round 32, test_loss = 0.4396, test_acc = 0.8876
After round 33, test_loss = 0.4361, test_acc = 0.8883
After round 34, test_loss = 0.4328, test_acc = 0.8891
After round 35, test_loss = 0.4296, test_acc = 0.8894
After round 36, test_loss = 0.4266, test_acc = 0.8899
After round 37, test_loss = 0.4238, test_acc = 0.8904
After round 38, test_loss = 0.421, test_acc = 0.8908
After round 39, test_loss = 0.4184, test_acc = 0.8906
After round 40, test_loss = 0.4159, test_acc = 0.8914
After round 41, test_loss = 0.4136, test_acc = 0.8917
After round 42, test_loss = 0.411, test_acc = 0.8924
After round 43, test_loss = 0.4085, test_acc = 0.893
After round 44, test_loss = 0.4062, test_acc = 0.8932
After round 45, test_loss = 0.404, test_acc = 0.8939
After round 46, test_loss = 0.4018, test_acc = 0.8942
After round 47, test_loss = 0.3999, test_acc = 0.8948
After round 48, test_loss = 0.3979, test_acc = 0.8956
After round 49, test_loss = 0.3961, test_acc = 0.8958
After round 50, test_loss = 0.3944, test_acc = 0.8958
After round 51, test_loss = 0.3926, test_acc = 0.8958
After round 52, test_loss = 0.3908, test_acc = 0.8969
After round 53, test_loss = 0.3891, test_acc = 0.8971
After round 54, test_loss = 0.3876, test_acc = 0.8975
After round 55, test_loss = 0.386, test_acc = 0.8976
After round 56, test_loss = 0.3846, test_acc = 0.8984
After round 57, test_loss = 0.3832, test_acc = 0.8991
After round 58, test_loss = 0.3819, test_acc = 0.9
After round 59, test_loss = 0.3805, test_acc = 0.9
After round 60, test_loss = 0.3792, test_acc = 0.8999
After round 61, test_loss = 0.3779, test_acc = 0.9001
After round 62, test_loss = 0.3767, test_acc = 0.8998
