Client 5 started! ... 
Client 5 connected to the server!
Client 5 initialized!
Loss = 2.3171772956848145, Accuracy = 0.1875
Loss = 2.3635427951812744, Accuracy = 0.1328125
Loss = 2.4615046977996826, Accuracy = 0.0234375
Loss = 2.5257174968719482, Accuracy = 0.0
Loss = 2.54300594329834, Accuracy = 0.0
Loss = 2.626160144805908, Accuracy = 0.0
Loss = 2.6816773414611816, Accuracy = 0.0
Loss = 2.7257602214813232, Accuracy = 0.0
Loss = 2.794593572616577, Accuracy = 0.0
Loss = 2.809446334838867, Accuracy = 0.0
Loss = 2.7974438667297363, Accuracy = 0.0
Loss = 2.869957208633423, Accuracy = 0.0
Loss = 2.918408155441284, Accuracy = 0.0
Loss = 2.976640462875366, Accuracy = 0.0
Loss = 2.959057092666626, Accuracy = 0.0
Loss = 3.024383544921875, Accuracy = 0.0
Loss = 3.052260398864746, Accuracy = 0.0
Loss = 3.0267481803894043, Accuracy = 0.0
Loss = 3.097651958465576, Accuracy = 0.0
Loss = 3.1844022274017334, Accuracy = 0.0
Loss = 3.1283316612243652, Accuracy = 0.0
Loss = 3.129159450531006, Accuracy = 0.0
Loss = 3.1905248165130615, Accuracy = 0.0
Loss = 3.2009215354919434, Accuracy = 0.0
Loss = 3.2345054149627686, Accuracy = 0.0
Loss = 3.259829521179199, Accuracy = 0.0
Loss = 3.2445731163024902, Accuracy = 0.0
Loss = 3.300900936126709, Accuracy = 0.0
Loss = 3.272921085357666, Accuracy = 0.0
Loss = 3.2889761924743652, Accuracy = 0.0
Loss = 3.2840042114257812, Accuracy = 0.0
Loss = 3.416306495666504, Accuracy = 0.0
Loss = 3.3778390884399414, Accuracy = 0.0
Loss = 3.4407289028167725, Accuracy = 0.0
Loss = 3.4226622581481934, Accuracy = 0.0
Loss = 3.433377265930176, Accuracy = 0.0
Loss = 3.4843978881835938, Accuracy = 0.0
Loss = 3.397616386413574, Accuracy = 0.0
Loss = 3.4927802085876465, Accuracy = 0.0
Loss = 3.440523147583008, Accuracy = 0.0
Loss = 3.486394166946411, Accuracy = 0.0
Loss = 3.524662971496582, Accuracy = 0.0
Loss = 3.4860854148864746, Accuracy = 0.0
Loss = 3.570490598678589, Accuracy = 0.0
Loss = 3.5619609355926514, Accuracy = 0.0
Loss = 3.5820205211639404, Accuracy = 0.0
Loss = 3.4957664012908936, Accuracy = 0.0
Loss = 3.572826862335205, Accuracy = 0.0
Loss = 3.6094188690185547, Accuracy = 0.0
Loss = 3.5567286014556885, Accuracy = 0.0
Loss = 3.6905815601348877, Accuracy = 0.0
Loss = 3.560373544692993, Accuracy = 0.0
Loss = 3.533235788345337, Accuracy = 0.0
Loss = 3.583683729171753, Accuracy = 0.0
Loss = 3.5977349281311035, Accuracy = 0.0
Loss = 3.540893077850342, Accuracy = 0.0
Loss = 3.5444557666778564, Accuracy = 0.0
Loss = 3.6652069091796875, Accuracy = 0.0
Loss = 3.6961023807525635, Accuracy = 0.0
Loss = 3.721787214279175, Accuracy = 0.0
Loss = 3.7008512020111084, Accuracy = 0.0
Loss = 3.657287836074829, Accuracy = 0.0
Loss = 3.6947391033172607, Accuracy = 0.0
Loss = 3.6615748405456543, Accuracy = 0.0
Loss = 3.641700506210327, Accuracy = 0.0
Loss = 3.6796553134918213, Accuracy = 0.0
Loss = 3.741245985031128, Accuracy = 0.0
Loss = 3.5218305587768555, Accuracy = 0.0
Loss = 3.703613519668579, Accuracy = 0.0
Loss = 3.67921781539917, Accuracy = 0.0
Loss = 3.7081968784332275, Accuracy = 0.0
Loss = 3.809255361557007, Accuracy = 0.0
Loss = 3.7052247524261475, Accuracy = 0.0
Loss = 3.70101261138916, Accuracy = 0.0
Loss = 3.670142889022827, Accuracy = 0.0
Loss = 3.707087755203247, Accuracy = 0.0
Loss = 3.6112585067749023, Accuracy = 0.0
Loss = 3.757368803024292, Accuracy = 0.0
Loss = 3.667755603790283, Accuracy = 0.0
Loss = 3.7447195053100586, Accuracy = 0.0
Loss = 3.8349170684814453, Accuracy = 0.0
Loss = 3.7520053386688232, Accuracy = 0.0
Loss = 3.8081612586975098, Accuracy = 0.0
Loss = 3.776848554611206, Accuracy = 0.0
Loss = 3.7550270557403564, Accuracy = 0.0
Loss = 3.7117722034454346, Accuracy = 0.0
Loss = 3.6722524166107178, Accuracy = 0.0
Loss = 3.8017261028289795, Accuracy = 0.0
Loss = 3.6434402465820312, Accuracy = 0.0
Loss = 3.685298204421997, Accuracy = 0.0
Loss = 3.795593500137329, Accuracy = 0.0
Loss = 3.856189250946045, Accuracy = 0.0
Loss = 3.7210118770599365, Accuracy = 0.0
Loss = 3.8314123153686523, Accuracy = 0.0
Loss = 3.7749836444854736, Accuracy = 0.0
Loss = 3.8228349685668945, Accuracy = 0.0
Loss = 3.7751080989837646, Accuracy = 0.0
Loss = 3.858462333679199, Accuracy = 0.0
Loss = 3.7768566608428955, Accuracy = 0.0
Loss = 3.8964037895202637, Accuracy = 0.0
Loss = 3.818812370300293, Accuracy = 0.0
Loss = 3.880866050720215, Accuracy = 0.0
Loss = 3.8831281661987305, Accuracy = 0.0
Loss = 3.8980822563171387, Accuracy = 0.0
Loss = 3.927428722381592, Accuracy = 0.0
Loss = 3.746067762374878, Accuracy = 0.0
Loss = 3.8110363483428955, Accuracy = 0.0
Loss = 3.7942702770233154, Accuracy = 0.0
Loss = 3.7893154621124268, Accuracy = 0.0
Loss = 3.855087995529175, Accuracy = 0.0
Loss = 3.770862579345703, Accuracy = 0.0
Loss = 3.913496255874634, Accuracy = 0.0
Loss = 3.822431802749634, Accuracy = 0.0
Loss = 3.953345537185669, Accuracy = 0.0
Loss = 3.7815494537353516, Accuracy = 0.0
Loss = 3.77988338470459, Accuracy = 0.0
Loss = 4.094114303588867, Accuracy = 0.0
Loss = 3.744108200073242, Accuracy = 0.0
Loss = 4.0442214012146, Accuracy = 0.0
Loss = 3.97113299369812, Accuracy = 0.0
Loss = 3.889793872833252, Accuracy = 0.0
Loss = 3.8988571166992188, Accuracy = 0.0
Loss = 3.853182077407837, Accuracy = 0.0
Loss = 3.900841236114502, Accuracy = 0.0
Loss = 3.9922258853912354, Accuracy = 0.0
Loss = 3.8558733463287354, Accuracy = 0.0
Loss = 3.7281668186187744, Accuracy = 0.0
Loss = 3.7216193675994873, Accuracy = 0.0
Loss = 3.6390819549560547, Accuracy = 0.0
Loss = 3.6961379051208496, Accuracy = 0.0
Loss = 3.722836971282959, Accuracy = 0.0
Loss = 3.674959659576416, Accuracy = 0.0
Loss = 3.5523250102996826, Accuracy = 0.0
Loss = 3.5340609550476074, Accuracy = 0.0
Loss = 3.673764228820801, Accuracy = 0.0
Loss = 3.770174264907837, Accuracy = 0.0
Loss = 3.5828347206115723, Accuracy = 0.0
Loss = 3.5618233680725098, Accuracy = 0.0
Loss = 3.709057569503784, Accuracy = 0.0
Loss = 3.512331247329712, Accuracy = 0.0
Loss = 3.6155030727386475, Accuracy = 0.0
Loss = 3.6755523681640625, Accuracy = 0.0
Loss = 3.622666120529175, Accuracy = 0.0
Loss = 3.71930193901062, Accuracy = 0.0
Loss = 3.6334662437438965, Accuracy = 0.0
Loss = 3.615980386734009, Accuracy = 0.0
Loss = 3.4807369709014893, Accuracy = 0.0
Loss = 3.602292776107788, Accuracy = 0.0
Loss = 3.4155824184417725, Accuracy = 0.0
Loss = 3.7098262310028076, Accuracy = 0.0
Loss = 3.681063652038574, Accuracy = 0.0
Loss = 3.540086030960083, Accuracy = 0.0
Loss = 3.559682607650757, Accuracy = 0.0
Loss = 3.5188379287719727, Accuracy = 0.0
Loss = 3.686304807662964, Accuracy = 0.0
Loss = 3.7098395824432373, Accuracy = 0.0
Loss = 3.6694529056549072, Accuracy = 0.0
Loss = 3.5464847087860107, Accuracy = 0.0
Loss = 3.604295253753662, Accuracy = 0.0
Loss = 3.6243703365325928, Accuracy = 0.0
Loss = 3.588348388671875, Accuracy = 0.0
Loss = 3.489948034286499, Accuracy = 0.0
Loss = 3.645386219024658, Accuracy = 0.0
Loss = 3.753345012664795, Accuracy = 0.0
Loss = 3.4766101837158203, Accuracy = 0.0
Loss = 3.502225399017334, Accuracy = 0.0
Loss = 3.5840516090393066, Accuracy = 0.0
Loss = 3.6998867988586426, Accuracy = 0.0
Loss = 3.5794005393981934, Accuracy = 0.0
Loss = 3.6525537967681885, Accuracy = 0.0
Loss = 3.667057752609253, Accuracy = 0.0
Loss = 3.7169065475463867, Accuracy = 0.0
Loss = 3.556344509124756, Accuracy = 0.0
Loss = 3.454052209854126, Accuracy = 0.0
Loss = 3.53232479095459, Accuracy = 0.0
Loss = 3.6456758975982666, Accuracy = 0.0
Loss = 3.7793431282043457, Accuracy = 0.0
Loss = 3.592550754547119, Accuracy = 0.0
Loss = 3.429159641265869, Accuracy = 0.0
Loss = 3.6186201572418213, Accuracy = 0.0
Loss = 3.5360186100006104, Accuracy = 0.0
Loss = 3.517561197280884, Accuracy = 0.0
Loss = 3.4967846870422363, Accuracy = 0.0
Loss = 3.6335251331329346, Accuracy = 0.0
Loss = 3.4912586212158203, Accuracy = 0.0
Loss = 3.6127243041992188, Accuracy = 0.0
Loss = 3.505866527557373, Accuracy = 0.0
Loss = 3.4964513778686523, Accuracy = 0.0
Loss = 3.481309413909912, Accuracy = 0.0
Loss = 3.426386594772339, Accuracy = 0.0
Loss = 3.574216842651367, Accuracy = 0.0
Loss = 3.5265588760375977, Accuracy = 0.0
Loss = 3.427469253540039, Accuracy = 0.0
Loss = 3.7477216720581055, Accuracy = 0.0
Loss = 3.499969959259033, Accuracy = 0.0
Loss = 3.409226179122925, Accuracy = 0.0
Loss = 3.429689645767212, Accuracy = 0.0
