Client 6 started! ... 
Client 6 connected to the server!
Loss = 1.9915, Accuracy = 0.5042
Loss = 1.5027, Accuracy = 0.7589
Loss = 1.2246, Accuracy = 0.7947
Loss = 1.0555, Accuracy = 0.8125
Loss = 0.9439, Accuracy = 0.8224
Loss = 0.8635, Accuracy = 0.8295
Loss = 0.8035, Accuracy = 0.835
Loss = 0.7572, Accuracy = 0.8404
Loss = 0.7203, Accuracy = 0.8423
Loss = 0.6895, Accuracy = 0.8464
Loss = 0.6636, Accuracy = 0.8499
Loss = 0.6418, Accuracy = 0.8526
Loss = 0.6229, Accuracy = 0.8551
Loss = 0.6068, Accuracy = 0.8568
Loss = 0.5916, Accuracy = 0.8594
Loss = 0.5784, Accuracy = 0.8598
Loss = 0.5666, Accuracy = 0.8619
Loss = 0.5564, Accuracy = 0.8637
Loss = 0.5466, Accuracy = 0.8643
Loss = 0.5382, Accuracy = 0.8655
Loss = 0.5295, Accuracy = 0.8678
Loss = 0.5219, Accuracy = 0.8692
Loss = 0.5154, Accuracy = 0.8694
Loss = 0.5086, Accuracy = 0.871
Loss = 0.5028, Accuracy = 0.8717
Loss = 0.4968, Accuracy = 0.8725
Loss = 0.4917, Accuracy = 0.8734
Loss = 0.4871, Accuracy = 0.8744
Loss = 0.4826, Accuracy = 0.8754
Loss = 0.4785, Accuracy = 0.8754
Loss = 0.4742, Accuracy = 0.8763
Loss = 0.4702, Accuracy = 0.8773
Loss = 0.4663, Accuracy = 0.8791
Loss = 0.4632, Accuracy = 0.8802
Loss = 0.4595, Accuracy = 0.8802
Loss = 0.4561, Accuracy = 0.881
Loss = 0.4532, Accuracy = 0.8814
Loss = 0.45, Accuracy = 0.883
Loss = 0.4471, Accuracy = 0.8816
Loss = 0.445, Accuracy = 0.8829
Loss = 0.4421, Accuracy = 0.8837
Loss = 0.4396, Accuracy = 0.8841
Loss = 0.4369, Accuracy = 0.8855
Loss = 0.4342, Accuracy = 0.8858
Loss = 0.4324, Accuracy = 0.8853
Loss = 0.43, Accuracy = 0.8865
Loss = 0.4279, Accuracy = 0.8865
Loss = 0.4259, Accuracy = 0.8884
Loss = 0.4237, Accuracy = 0.8881
Loss = 0.422, Accuracy = 0.8893
Loss = 0.4202, Accuracy = 0.8898
Loss = 0.4178, Accuracy = 0.8892
Loss = 0.4159, Accuracy = 0.8897
Loss = 0.4145, Accuracy = 0.89
Loss = 0.4132, Accuracy = 0.8917
Loss = 0.4117, Accuracy = 0.8905
Loss = 0.4101, Accuracy = 0.8915
Loss = 0.4089, Accuracy = 0.8916
Loss = 0.4071, Accuracy = 0.892
Loss = 0.4058, Accuracy = 0.8916
Loss = 0.4044, Accuracy = 0.8929
Loss = 0.4034, Accuracy = 0.8931
Loss = 0.4022, Accuracy = 0.8939
Loss = 0.4003, Accuracy = 0.8941
Loss = 0.3993, Accuracy = 0.8946
Loss = 0.3979, Accuracy = 0.8944
Loss = 0.3968, Accuracy = 0.8951
Loss = 0.3954, Accuracy = 0.8947
Loss = 0.3943, Accuracy = 0.8943
Loss = 0.3932, Accuracy = 0.8953
Loss = 0.3921, Accuracy = 0.8955
Loss = 0.391, Accuracy = 0.896
Loss = 0.3902, Accuracy = 0.8964
Loss = 0.3894, Accuracy = 0.8956
Loss = 0.3886, Accuracy = 0.8962
Loss = 0.3873, Accuracy = 0.8971
Loss = 0.3868, Accuracy = 0.8962
Loss = 0.3855, Accuracy = 0.8973
Loss = 0.385, Accuracy = 0.8963
Loss = 0.3838, Accuracy = 0.8964
Loss = 0.3832, Accuracy = 0.8956
Loss = 0.3827, Accuracy = 0.8962
Loss = 0.3813, Accuracy = 0.8973
Loss = 0.3808, Accuracy = 0.8974
Loss = 0.3799, Accuracy = 0.8983
Loss = 0.3794, Accuracy = 0.8983
Loss = 0.3785, Accuracy = 0.8987
Loss = 0.3774, Accuracy = 0.8984
Loss = 0.3763, Accuracy = 0.8981
Loss = 0.3759, Accuracy = 0.898
Loss = 0.3748, Accuracy = 0.8992
Loss = 0.3739, Accuracy = 0.9002
Loss = 0.3735, Accuracy = 0.8999
Loss = 0.3732, Accuracy = 0.8991
Loss = 0.372, Accuracy = 0.8993
Loss = 0.3717, Accuracy = 0.8993
Loss = 0.3702, Accuracy = 0.8999
Loss = 0.37, Accuracy = 0.8988
Loss = 0.3695, Accuracy = 0.8998
Loss = 0.3687, Accuracy = 0.9006
Loss = 0.3681, Accuracy = 0.9
Loss = 0.3679, Accuracy = 0.9
Loss = 0.3666, Accuracy = 0.9012
Loss = 0.3666, Accuracy = 0.9004
Loss = 0.3661, Accuracy = 0.9002
Loss = 0.3652, Accuracy = 0.9014
Loss = 0.3644, Accuracy = 0.9012
Loss = 0.3641, Accuracy = 0.9005
Loss = 0.3641, Accuracy = 0.9024
Loss = 0.3635, Accuracy = 0.901
Loss = 0.3634, Accuracy = 0.9009
Loss = 0.3625, Accuracy = 0.901
Loss = 0.3623, Accuracy = 0.9018
Loss = 0.3614, Accuracy = 0.9023
Loss = 0.361, Accuracy = 0.9012
Loss = 0.3605, Accuracy = 0.902
Loss = 0.3597, Accuracy = 0.9026
Loss = 0.3592, Accuracy = 0.9022
Loss = 0.359, Accuracy = 0.9023
Loss = 0.3584, Accuracy = 0.903
Loss = 0.3578, Accuracy = 0.9028
Loss = 0.3575, Accuracy = 0.903
Loss = 0.3575, Accuracy = 0.9024
Loss = 0.3566, Accuracy = 0.9031
Loss = 0.3562, Accuracy = 0.9036
Loss = 0.3555, Accuracy = 0.9031
Loss = 0.3553, Accuracy = 0.9033
Loss = 0.3546, Accuracy = 0.9037
Loss = 0.354, Accuracy = 0.9036
Loss = 0.3538, Accuracy = 0.9036
Loss = 0.3535, Accuracy = 0.903
Loss = 0.3527, Accuracy = 0.9035
Loss = 0.3521, Accuracy = 0.9032
Loss = 0.3519, Accuracy = 0.904
Loss = 0.3517, Accuracy = 0.9036
Loss = 0.3507, Accuracy = 0.9033
Loss = 0.3509, Accuracy = 0.9038
Loss = 0.3501, Accuracy = 0.9045
Loss = 0.3494, Accuracy = 0.9047
Loss = 0.349, Accuracy = 0.9048
Loss = 0.3488, Accuracy = 0.9043
Loss = 0.348, Accuracy = 0.9045
